detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_time,val_selected_r@10
ET3,noisy,stage0_baseline,waveform_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,6000,0.6245,0.7978333333333333,0.8541666666666666,0.936,0.9613333333333334,0.987,1.0,90,0.9585,450,0.9863333333333333,900,0.9903333333333333,,
ET3,noisy,stage0_baseline,waveform_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,3000,0.674,0.8446666666666667,0.8906666666666667,0.9586666666666667,0.977,0.9936666666666667,1.0,90,0.975,450,0.9933333333333333,900,0.9946666666666667,,
ET3,noisy,stage0_baseline,waveform_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,3000,0.575,0.751,0.8176666666666667,0.9133333333333333,0.9456666666666667,0.9803333333333333,1.0,90,0.942,450,0.9793333333333333,900,0.986,,
ET3,noisy,stage0_baseline,waveform_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,6000,0.6245,0.7978333333333334,0.8541666666666667,0.9359999999999999,0.9613333333333334,0.987,1.0,90,0.9584999999999999,450,0.9863333333333333,900,0.9903333333333333,,
ET3,noisy,stage0_baseline,raw_time_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,6000,0.13516666666666666,0.405,0.5298333333333334,0.6326666666666667,0.6893333333333334,0.8475,9.0,90,0.6778333333333333,450,0.8386666666666667,900,0.9093333333333333,,
ET3,noisy,stage0_baseline,raw_time_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,3000,0.009666666666666667,0.052333333333333336,0.102,0.2653333333333333,0.37866666666666665,0.695,188.0,90,0.3556666666666667,450,0.6773333333333333,900,0.8186666666666667,,
ET3,noisy,stage0_baseline,raw_time_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,3000,0.26066666666666666,0.7576666666666667,0.9576666666666667,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,
ET3,noisy,stage0_baseline,raw_time_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,6000,0.13516666666666666,0.405,0.5298333333333334,0.6326666666666667,0.6893333333333334,0.8474999999999999,95.5,90,0.6778333333333333,450,0.8386666666666667,900,0.9093333333333333,,
ET3,noisy,stage0_baseline,waveform_plus_raw_time_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,6000,0.858,0.9438333333333333,0.9648333333333333,0.9883333333333333,0.9931666666666666,0.9976666666666667,1.0,90,0.9923333333333333,450,0.9976666666666667,900,0.9983333333333333,0.5,0.9636666666666667
ET3,noisy,stage0_baseline,waveform_plus_raw_time_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,3000,0.7863333333333333,0.9183333333333333,0.9503333333333334,0.9843333333333333,0.9906666666666667,0.996,1.0,90,0.9893333333333333,450,0.996,900,0.9966666666666667,0.5,0.9636666666666667
ET3,noisy,stage0_baseline,waveform_plus_raw_time_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,3000,0.9296666666666666,0.9693333333333334,0.9793333333333333,0.9923333333333333,0.9956666666666667,0.9993333333333333,1.0,90,0.9953333333333333,450,0.9993333333333333,900,1.0,0.5,0.9636666666666667
ET3,noisy,stage0_baseline,waveform_plus_raw_time_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,6000,0.858,0.9438333333333333,0.9648333333333333,0.9883333333333333,0.9931666666666668,0.9976666666666667,1.0,90,0.9923333333333333,450,0.9976666666666667,900,0.9983333333333333,0.5,0.9636666666666667
