detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,liao_delay_median_days,liao_delay_p90_days,random_delay_median_days,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time_step,val_selected_r@10,lambda_liao_time
ET3,noisy,stage1_liao_time_lr,liao_time_step_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.2087063965532,6000,0.506,0.506,0.506,0.5071666666666667,0.5071666666666667,0.5086666666666667,1.0,90,0.5071666666666667,450,0.5085,900,0.5213333333333333,,,
ET3,noisy,stage1_liao_time_lr,liao_time_step_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.2087063965532,3000,0.8213333333333334,0.8213333333333334,0.8213333333333334,0.8236666666666667,0.8236666666666667,0.8266666666666667,1.0,90,0.8236666666666667,450,0.8263333333333334,900,0.8353333333333334,,,
ET3,noisy,stage1_liao_time_lr,liao_time_step_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.2087063965532,3000,0.19066666666666668,0.19066666666666668,0.19066666666666668,0.19066666666666668,0.19066666666666668,0.19066666666666668,1387.0,90,0.19066666666666668,450,0.19066666666666668,900,0.20733333333333334,,,
ET3,noisy,stage1_liao_time_lr,liao_time_step_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.2087063965532,6000,0.506,0.506,0.506,0.5071666666666667,0.5071666666666667,0.5086666666666667,694.0,90,0.5071666666666667,450,0.5085000000000001,900,0.5213333333333333,,,
ET3,noisy,stage1_liao_time_lr,liao_time_lr_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.2087063965532,6000,0.12966666666666668,0.404,0.5308333333333334,0.6373333333333333,0.6966666666666667,0.855,9.0,90,0.683,450,0.845,900,0.9161666666666667,,,
ET3,noisy,stage1_liao_time_lr,liao_time_lr_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.2087063965532,3000,0.012,0.057,0.111,0.27466666666666667,0.3933333333333333,0.71,172.0,90,0.366,450,0.69,900,0.8323333333333334,,,
ET3,noisy,stage1_liao_time_lr,liao_time_lr_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.2087063965532,3000,0.24733333333333332,0.751,0.9506666666666667,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage1_liao_time_lr,liao_time_lr_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.2087063965532,6000,0.12966666666666665,0.404,0.5308333333333334,0.6373333333333333,0.6966666666666667,0.855,87.5,90,0.683,450,0.845,900,0.9161666666666667,,,
ET3,noisy,stage1_liao_time_lr,waveform_plus_liao_time_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.2087063965532,6000,0.628,0.8273333333333334,0.8835,0.9551666666666667,0.9703333333333334,0.9888333333333333,1.0,90,0.9688333333333333,450,0.9883333333333333,900,0.9926666666666667,0.5,0.8925,
ET3,noisy,stage1_liao_time_lr,waveform_plus_liao_time_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.2087063965532,3000,0.7793333333333333,0.909,0.938,0.9783333333333334,0.9893333333333333,0.995,1.0,90,0.988,450,0.995,900,0.9966666666666667,0.5,0.8925,
