detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_sky_step,val_selected_r@10,lambda_sky_log_overlap
ET3,noisy,stage2_observed_sky,observed_sky_step_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,6000,0.5341666666666667,0.8246666666666667,0.9406666666666667,0.9998333333333334,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage2_observed_sky,observed_sky_step_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,3000,0.5406666666666666,0.8316666666666667,0.9406666666666667,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage2_observed_sky,observed_sky_step_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,3000,0.5276666666666666,0.8176666666666667,0.9406666666666667,0.9996666666666667,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage2_observed_sky,observed_sky_step_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,6000,0.5341666666666667,0.8246666666666667,0.9406666666666667,0.9998333333333334,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage2_observed_sky,observed_sky_log_overlap_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,6000,0.237,0.6848333333333333,0.8871666666666667,0.9995,0.9998333333333334,1.0,3.0,90,0.9998333333333334,450,1.0,900,1.0,,,
ET3,noisy,stage2_observed_sky,observed_sky_log_overlap_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,3000,0.23733333333333334,0.691,0.8886666666666667,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage2_observed_sky,observed_sky_log_overlap_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,3000,0.23666666666666666,0.6786666666666666,0.8856666666666667,0.999,0.9996666666666667,1.0,3.0,90,0.9996666666666667,450,1.0,900,1.0,,,
ET3,noisy,stage2_observed_sky,observed_sky_log_overlap_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,6000,0.237,0.6848333333333333,0.8871666666666667,0.9995,0.9998333333333334,1.0,3.0,90,0.9998333333333334,450,1.0,900,1.0,,,
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,6000,0.8963333333333333,0.9788333333333333,0.9908333333333333,0.9975,0.9986666666666667,0.9995,1.0,90,0.9986666666666667,450,0.9995,900,0.9995,0.25,0.994,
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,3000,0.9073333333333333,0.9793333333333333,0.992,0.9993333333333333,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.25,0.994,
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,3000,0.8853333333333333,0.9783333333333334,0.9896666666666667,0.9956666666666667,0.9973333333333333,0.999,1.0,90,0.9973333333333333,450,0.999,900,0.999,0.25,0.994,
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,6000,0.8963333333333333,0.9788333333333333,0.9908333333333333,0.9975,0.9986666666666666,0.9995,1.0,90,0.9986666666666666,450,0.9995,900,0.9995,0.25,0.994,
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,6000,0.8591666666666666,0.9361666666666667,0.9608333333333333,0.9866666666666667,0.991,0.998,1.0,90,0.9898333333333333,450,0.9976666666666667,900,0.999,,0.962,4.0
ET3,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET three-arm network-SNR A90 approximation,100.0,20.0,27.26257154112327,3000,0.894,0.957,0.9776666666666667,0.993,0.9946666666666667,0.998,1.0,90,0.9946666666666667,450,0.9976666666666667,900,0.9993333333333333,,0.962,4.0
