detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,pdf_area_threshold_deg2,pdf_equiv_theta_threshold_deg,observed_sky_label,test_a90_median_deg2,test_a90_p90_deg2,liao_label,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_pdf_sky,val_selected_r@10,lambda_liao_time_lr
ET3,noisy,stage2b_pdf_rule_time_sky_baseline,pdf_sky_hard_mask_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1000.0,17.841241161527712,ET three-arm network-SNR A90 approximation,20.0,27.46384221261408,GW-LMC ET BBH Any_Detected_SNR8,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage2b_pdf_rule_time_sky_baseline,pdf_sky_hard_mask_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1000.0,17.841241161527712,ET three-arm network-SNR A90 approximation,20.0,27.46384221261408,GW-LMC ET BBH Any_Detected_SNR8,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage2b_pdf_rule_time_sky_baseline,pdf_sky_hard_mask_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1000.0,17.841241161527712,ET three-arm network-SNR A90 approximation,20.0,27.46384221261408,GW-LMC ET BBH Any_Detected_SNR8,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage2b_pdf_rule_time_sky_baseline,pdf_sky_hard_mask_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1000.0,17.841241161527712,ET three-arm network-SNR A90 approximation,20.0,27.46384221261408,GW-LMC ET BBH Any_Detected_SNR8,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage2b_pdf_rule_time_sky_baseline,liao_time_lr_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1000.0,17.841241161527712,ET three-arm network-SNR A90 approximation,20.0,27.46384221261408,GW-LMC ET BBH Any_Detected_SNR8,6000,0.12966666666666668,0.404,0.5308333333333334,0.6373333333333333,0.6966666666666667,0.855,9.0,90,0.683,450,0.845,900,0.9161666666666667,,,
ET3,noisy,stage2b_pdf_rule_time_sky_baseline,liao_time_lr_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1000.0,17.841241161527712,ET three-arm network-SNR A90 approximation,20.0,27.46384221261408,GW-LMC ET BBH Any_Detected_SNR8,3000,0.012,0.057,0.111,0.27466666666666667,0.3933333333333333,0.71,172.0,90,0.366,450,0.69,900,0.8323333333333334,,,
ET3,noisy,stage2b_pdf_rule_time_sky_baseline,liao_time_lr_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1000.0,17.841241161527712,ET three-arm network-SNR A90 approximation,20.0,27.46384221261408,GW-LMC ET BBH Any_Detected_SNR8,3000,0.24733333333333332,0.751,0.9506666666666667,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,,
ET3,noisy,stage2b_pdf_rule_time_sky_baseline,liao_time_lr_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1000.0,17.841241161527712,ET three-arm network-SNR A90 approximation,20.0,27.46384221261408,GW-LMC ET BBH Any_Detected_SNR8,6000,0.12966666666666665,0.404,0.5308333333333334,0.6373333333333333,0.6966666666666667,0.855,87.5,90,0.683,450,0.845,900,0.9161666666666667,,,
ET3,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_pdf_sky_hard_mask_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1000.0,17.841241161527712,ET three-arm network-SNR A90 approximation,20.0,27.46384221261408,GW-LMC ET BBH Any_Detected_SNR8,6000,0.8968333333333334,0.9755,0.9851666666666666,0.9945,0.9978333333333333,1.0,1.0,90,0.9976666666666667,450,1.0,900,1.0,1.0,0.9841666666666666,
ET3,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_pdf_sky_hard_mask_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1000.0,17.841241161527712,ET three-arm network-SNR A90 approximation,20.0,27.46384221261408,GW-LMC ET BBH Any_Detected_SNR8,3000,0.9243333333333333,0.9866666666666667,0.992,0.9963333333333333,0.9976666666666667,1.0,1.0,90,0.9976666666666667,450,1.0,900,1.0,1.0,0.9841666666666666,
