detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,observed_sky_label,amp_prior_pair_count,liao_snr_ratio_median,liao_snr_ratio_p90,random_snr_ratio_median,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time_lr,lambda_sky_log_overlap,val_selected_r@10,lambda_raw_snr_ratio,lambda_amp_time_lr
ET3,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET three-arm network-SNR A90 approximation,4388,1.6140327476858123,3.19175121840789,2.331747437995147,6000,0.9448333333333333,0.9861666666666666,0.9923333333333333,0.998,0.9986666666666667,1.0,1.0,90,0.9983333333333333,450,1.0,900,1.0,1.0,4.0,0.9915,,
ET3,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET three-arm network-SNR A90 approximation,4388,1.6140327476858123,3.19175121840789,2.331747437995147,3000,0.9096666666666666,0.976,0.986,0.996,0.9973333333333333,1.0,1.0,90,0.9966666666666667,450,1.0,900,1.0,1.0,4.0,0.9915,,
ET3,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET three-arm network-SNR A90 approximation,4388,1.6140327476858123,3.19175121840789,2.331747437995147,3000,0.98,0.9963333333333333,0.9986666666666667,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,4.0,0.9915,,
ET3,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET three-arm network-SNR A90 approximation,4388,1.6140327476858123,3.19175121840789,2.331747437995147,6000,0.9448333333333333,0.9861666666666666,0.9923333333333333,0.998,0.9986666666666666,1.0,1.0,90,0.9983333333333333,450,1.0,900,1.0,1.0,4.0,0.9915,,
ET3,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET three-arm network-SNR A90 approximation,4388,1.6140327476858123,3.19175121840789,2.331747437995147,6000,0.9448333333333333,0.9861666666666666,0.9923333333333333,0.998,0.9986666666666667,1.0,1.0,90,0.9983333333333333,450,1.0,900,1.0,1.0,4.0,0.9915,0.0,
ET3,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET three-arm network-SNR A90 approximation,4388,1.6140327476858123,3.19175121840789,2.331747437995147,3000,0.9096666666666666,0.976,0.986,0.996,0.9973333333333333,1.0,1.0,90,0.9966666666666667,450,1.0,900,1.0,1.0,4.0,0.9915,0.0,
ET3,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET three-arm network-SNR A90 approximation,4388,1.6140327476858123,3.19175121840789,2.331747437995147,3000,0.98,0.9963333333333333,0.9986666666666667,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,1.0,4.0,0.9915,0.0,
ET3,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET three-arm network-SNR A90 approximation,4388,1.6140327476858123,3.19175121840789,2.331747437995147,6000,0.9448333333333333,0.9861666666666666,0.9923333333333333,0.998,0.9986666666666666,1.0,1.0,90,0.9983333333333333,450,1.0,900,1.0,1.0,4.0,0.9915,0.0,
ET3,noisy,stage4_snr_amplitude_prior,plus_amp_time_2d_lr,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET three-arm network-SNR A90 approximation,4388,1.6140327476858123,3.19175121840789,2.331747437995147,6000,0.9448333333333333,0.9861666666666666,0.9923333333333333,0.998,0.9986666666666667,1.0,1.0,90,0.9983333333333333,450,1.0,900,1.0,1.0,4.0,0.9915,,0.0
ET3,noisy,stage4_snr_amplitude_prior,plus_amp_time_2d_lr,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET three-arm network-SNR A90 approximation,4388,1.6140327476858123,3.19175121840789,2.331747437995147,3000,0.9096666666666666,0.976,0.986,0.996,0.9973333333333333,1.0,1.0,90,0.9966666666666667,450,1.0,900,1.0,1.0,4.0,0.9915,,0.0
