path,rows,columns
runs/ligo_h1l1_fresh50_full_catalog_20260617/fresh50_full_catalog_summary.csv,72,"detector,data_mode,catalog,candidate_kind,subset,variant,stage,query_total"
runs/ligo_h1l1_fresh50_full_catalog_20260617/ligo_noisy_full_catalog/fresh50_full_catalog_summary.csv,36,"detector,data_mode,catalog,candidate_kind,subset,variant,stage,query_total"
runs/ligo_h1l1_fresh50_full_catalog_20260617/ligo_pure_full_catalog/fresh50_full_catalog_summary.csv,36,"detector,data_mode,catalog,candidate_kind,subset,variant,stage,query_total"
runs/ligo_h1l1_liao_realistic_p1_p2_rerank_20260617/stage0_baseline/stage0_baseline_summary.csv,12,"detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total"
runs/ligo_h1l1_liao_realistic_p1_p2_rerank_20260617/stage1_liao_time_lr/stage1_liao_time_lr_summary.csv,16,"detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total"
runs/ligo_h1l1_liao_realistic_p1_p2_rerank_20260617/stage2_observed_sky/stage2_observed_sky_summary.csv,40,"detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total"
runs/ligo_h1l1_liao_realistic_p1_p2_rerank_20260617/stage2b_pdf_rule_time_sky_baseline/stage2b_pdf_rule_time_sky_baseline_summary.csv,20,"detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total"
runs/ligo_h1l1_liao_realistic_p1_p2_rerank_20260617/stage3_liao_time_plus_observed_sky/stage3_liao_time_plus_observed_sky_summary.csv,8,"detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total"
runs/ligo_h1l1_liao_realistic_p1_p2_rerank_20260617/stage4_snr_amplitude_prior/stage4_snr_amplitude_prior_summary.csv,12,"detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total"
runs/ligo_h1l1_liao_realistic_p1_p2_rerank_20260617/stage5_reranker_model_compare/stage5_reranker_model_compare_summary.csv,24,"detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total"
runs/ligo_h1l1_liao_realistic_p1_p2_rerank_20260617/stage6_catalog_graph_discovery/stage6_catalog_graph_discovery_summary.csv,9,"detector,data_mode,stage,pair_scorer,catalog,candidate_kind,query_total,catalog_total"
