detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_sky_step,val_selected_r@10,lambda_sky_log_overlap
LIGO,noisy,stage2_observed_sky,observed_sky_step_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,6000,0.5113333333333333,0.5113333333333333,0.5113333333333333,0.8158333333333333,0.9378333333333333,1.0,1.0,90,0.9325,450,1.0,900,1.0,,,
LIGO,noisy,stage2_observed_sky,observed_sky_step_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,3000,0.512,0.512,0.512,0.8276666666666667,0.9403333333333334,1.0,1.0,90,0.9333333333333333,450,1.0,900,1.0,,,
LIGO,noisy,stage2_observed_sky,observed_sky_step_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,3000,0.5106666666666667,0.5106666666666667,0.5106666666666667,0.804,0.9353333333333333,1.0,1.0,90,0.9316666666666666,450,1.0,900,1.0,,,
LIGO,noisy,stage2_observed_sky,observed_sky_step_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,6000,0.5113333333333334,0.5113333333333334,0.5113333333333334,0.8158333333333334,0.9378333333333333,1.0,1.0,90,0.9325,450,1.0,900,1.0,,,
LIGO,noisy,stage2_observed_sky,observed_sky_log_overlap_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,6000,0.12666666666666668,0.27616666666666667,0.36716666666666664,0.6816666666666666,0.8563333333333333,0.9993333333333333,24.0,90,0.8316666666666667,450,0.998,900,1.0,,,
LIGO,noisy,stage2_observed_sky,observed_sky_log_overlap_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,3000,0.148,0.323,0.4226666666666667,0.7253333333333334,0.8796666666666667,0.9993333333333333,17.0,90,0.8563333333333333,450,0.9986666666666667,900,1.0,,,
LIGO,noisy,stage2_observed_sky,observed_sky_log_overlap_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,3000,0.10533333333333333,0.22933333333333333,0.31166666666666665,0.638,0.833,0.9993333333333333,31.0,90,0.807,450,0.9973333333333333,900,1.0,,,
LIGO,noisy,stage2_observed_sky,observed_sky_log_overlap_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,6000,0.12666666666666665,0.27616666666666667,0.36716666666666664,0.6816666666666666,0.8563333333333334,0.9993333333333333,24.0,90,0.8316666666666667,450,0.998,900,1.0,,,
LIGO,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,6000,0.13816666666666666,0.25516666666666665,0.3175,0.5126666666666667,0.586,0.7403333333333333,45.0,90,0.5766666666666667,450,0.73,900,0.8021666666666667,0.25,0.30516666666666664,
LIGO,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,3000,0.159,0.2986666666666667,0.36833333333333335,0.568,0.6383333333333333,0.771,30.0,90,0.629,450,0.7643333333333333,900,0.8293333333333334,0.25,0.30516666666666664,
LIGO,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,3000,0.11733333333333333,0.21166666666666667,0.26666666666666666,0.4573333333333333,0.5336666666666666,0.7096666666666667,71.0,90,0.5243333333333333,450,0.6956666666666667,900,0.775,0.25,0.30516666666666664,
LIGO,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,6000,0.13816666666666666,0.25516666666666665,0.3175,0.5126666666666666,0.586,0.7403333333333333,50.5,90,0.5766666666666667,450,0.73,900,0.8021666666666667,0.25,0.30516666666666664,
LIGO,noisy,stage2_observed_sky,waveform_plus_observed_sky_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,LIGO H1+L1 network A90 approximation,100.0,399.20113622580755,500.0,6000,0.06516666666666666,0.131,0.16883333333333334,0.2745,0.3398333333333333,0.6098333333333333,290.0,90,0.3298333333333333,450,0.5896666666666667,900,0.7551666666666667,,0.16233333333333333,4.0
