detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,pdf_area_threshold_deg2,pdf_equiv_theta_threshold_deg,observed_sky_label,test_a90_median_deg2,test_a90_p90_deg2,liao_label,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_pdf_sky,val_selected_r@10,lambda_liao_time_lr
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,pdf_sky_hard_mask_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,6000,0.8806666666666667,0.8806666666666667,0.8806666666666667,0.8806666666666667,0.9146666666666666,1.0,1.0,90,0.8883333333333333,450,1.0,900,1.0,,,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,pdf_sky_hard_mask_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,3000,0.8973333333333333,0.8973333333333333,0.8973333333333333,0.8973333333333333,0.924,1.0,1.0,90,0.9046666666666666,450,1.0,900,1.0,,,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,pdf_sky_hard_mask_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,3000,0.864,0.864,0.864,0.864,0.9053333333333333,1.0,1.0,90,0.872,450,1.0,900,1.0,,,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,pdf_sky_hard_mask_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,6000,0.8806666666666667,0.8806666666666667,0.8806666666666667,0.8806666666666667,0.9146666666666667,1.0,1.0,90,0.8883333333333333,450,1.0,900,1.0,,,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,liao_time_lr_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,6000,0.1445,0.4126666666666667,0.5273333333333333,0.6398333333333334,0.6941666666666667,0.854,9.0,90,0.686,450,0.8396666666666667,900,0.9168333333333333,,,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,liao_time_lr_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,3000,0.011333333333333334,0.057666666666666665,0.11066666666666666,0.2796666666666667,0.3883333333333333,0.708,176.0,90,0.372,450,0.6793333333333333,900,0.8336666666666667,,,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,liao_time_lr_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,3000,0.2776666666666667,0.7676666666666667,0.944,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,liao_time_lr_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,6000,0.14450000000000002,0.4126666666666667,0.5273333333333333,0.6398333333333334,0.6941666666666666,0.854,89.5,90,0.6859999999999999,450,0.8396666666666667,900,0.9168333333333334,,,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_pdf_sky_hard_mask_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,6000,0.077,0.1995,0.279,0.595,0.8455,0.8841666666666667,35.0,90,0.811,450,0.8835,900,0.8906666666666667,0.5,0.26916666666666667,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_pdf_sky_hard_mask_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,3000,0.08533333333333333,0.22866666666666666,0.324,0.6366666666666667,0.8596666666666667,0.901,28.0,90,0.825,450,0.901,900,0.9063333333333333,0.5,0.26916666666666667,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_pdf_sky_hard_mask_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,3000,0.06866666666666667,0.17033333333333334,0.234,0.5533333333333333,0.8313333333333334,0.8673333333333333,43.0,90,0.797,450,0.866,900,0.875,0.5,0.26916666666666667,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_pdf_sky_hard_mask_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,6000,0.077,0.1995,0.279,0.595,0.8455,0.8841666666666667,35.5,90,0.8109999999999999,450,0.8835,900,0.8906666666666667,0.5,0.26916666666666667,
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_liao_time_lr_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,6000,0.1705,0.4071666666666667,0.5166666666666667,0.6695,0.7208333333333333,0.8635,9.0,90,0.7118333333333333,450,0.8515,900,0.9155,,0.5136666666666667,4.0
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_liao_time_lr_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,3000,0.028,0.089,0.14933333333333335,0.34,0.44166666666666665,0.727,144.0,90,0.4236666666666667,450,0.703,900,0.831,,0.5136666666666667,4.0
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_liao_time_lr_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,3000,0.313,0.7253333333333334,0.884,0.999,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,0.5136666666666667,4.0
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_liao_time_lr_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,6000,0.1705,0.4071666666666667,0.5166666666666667,0.6695,0.7208333333333333,0.8634999999999999,73.5,90,0.7118333333333333,450,0.8514999999999999,900,0.9155,,0.5136666666666667,4.0
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_pdf_sky_hard_mask_plus_liao_time_lr_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,6000,0.5756666666666667,0.7308333333333333,0.7923333333333333,0.9078333333333334,0.926,0.9755,1.0,90,0.9233333333333333,450,0.9726666666666667,900,0.9841666666666666,1.0,0.8035,4.0
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_pdf_sky_hard_mask_plus_liao_time_lr_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,3000,0.32366666666666666,0.5633333333333334,0.6516666666666666,0.817,0.8523333333333334,0.951,4.0,90,0.847,450,0.9453333333333334,900,0.9683333333333334,1.0,0.8035,4.0
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_pdf_sky_hard_mask_plus_liao_time_lr_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,3000,0.8276666666666667,0.8983333333333333,0.933,0.9986666666666667,0.9996666666666667,1.0,1.0,90,0.9996666666666667,450,1.0,900,1.0,1.0,0.8035,4.0
LIGO,noisy,stage2b_pdf_rule_time_sky_baseline,waveform_plus_pdf_sky_hard_mask_plus_liao_time_lr_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,500.0,12.6156626101008,LIGO H1+L1 network A90 approximation,393.1287315755447,500.0,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,6000,0.5756666666666667,0.7308333333333333,0.7923333333333333,0.9078333333333333,0.926,0.9755,2.5,90,0.9233333333333333,450,0.9726666666666667,900,0.9841666666666666,1.0,0.8035,4.0
