detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,observed_sky_label,amp_prior_pair_count,liao_snr_ratio_median,liao_snr_ratio_p90,random_snr_ratio_median,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time_lr,lambda_sky_log_overlap,val_selected_r@10,lambda_raw_snr_ratio,lambda_amp_time_lr
LIGO,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,LIGO H1+L1 network A90 approximation,4498,1.5767498267498266,2.9750417415874653,2.414100368415961,6000,0.36666666666666664,0.5946666666666667,0.6651666666666667,0.7918333333333333,0.8458333333333333,0.9575,3.0,90,0.8385,450,0.9521666666666667,900,0.9843333333333333,2.0,4.0,0.6715,,
LIGO,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,LIGO H1+L1 network A90 approximation,4498,1.5767498267498266,2.9750417415874653,2.414100368415961,3000,0.12066666666666667,0.2796666666666667,0.36533333333333334,0.5843333333333334,0.6916666666666667,0.915,28.5,90,0.677,450,0.9043333333333333,900,0.9686666666666667,2.0,4.0,0.6715,,
LIGO,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,LIGO H1+L1 network A90 approximation,4498,1.5767498267498266,2.9750417415874653,2.414100368415961,3000,0.6126666666666667,0.9096666666666666,0.965,0.9993333333333333,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,2.0,4.0,0.6715,,
LIGO,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,LIGO H1+L1 network A90 approximation,4498,1.5767498267498266,2.9750417415874653,2.414100368415961,6000,0.3666666666666667,0.5946666666666667,0.6651666666666667,0.7918333333333334,0.8458333333333333,0.9575,14.75,90,0.8385,450,0.9521666666666666,900,0.9843333333333333,2.0,4.0,0.6715,,
LIGO,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,LIGO H1+L1 network A90 approximation,4498,1.5767498267498266,2.9750417415874653,2.414100368415961,6000,0.4105,0.6145,0.6835,0.8165,0.8673333333333333,0.9658333333333333,2.0,90,0.8608333333333333,450,0.9615,900,0.9875,2.0,4.0,0.6961666666666667,1.0,
LIGO,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,LIGO H1+L1 network A90 approximation,4498,1.5767498267498266,2.9750417415874653,2.414100368415961,3000,0.175,0.3333333333333333,0.41233333333333333,0.6343333333333333,0.7346666666666667,0.9316666666666666,21.0,90,0.722,450,0.923,900,0.975,2.0,4.0,0.6961666666666667,1.0,
LIGO,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,LIGO H1+L1 network A90 approximation,4498,1.5767498267498266,2.9750417415874653,2.414100368415961,3000,0.646,0.8956666666666667,0.9546666666666667,0.9986666666666667,1.0,1.0,1.0,90,0.9996666666666667,450,1.0,900,1.0,2.0,4.0,0.6961666666666667,1.0,
LIGO,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,LIGO H1+L1 network A90 approximation,4498,1.5767498267498266,2.9750417415874653,2.414100368415961,6000,0.4105,0.6145,0.6835,0.8165,0.8673333333333333,0.9658333333333333,11.0,90,0.8608333333333333,450,0.9615,900,0.9875,2.0,4.0,0.6961666666666667,1.0,
LIGO,noisy,stage4_snr_amplitude_prior,plus_amp_time_2d_lr,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,LIGO H1+L1 network A90 approximation,4498,1.5767498267498266,2.9750417415874653,2.414100368415961,6000,0.36833333333333335,0.6016666666666667,0.6685,0.7866666666666666,0.8413333333333334,0.953,3.0,90,0.8335,450,0.9483333333333334,900,0.9821666666666666,2.0,4.0,0.6771666666666667,,0.25
LIGO,noisy,stage4_snr_amplitude_prior,plus_amp_time_2d_lr,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,LIGO H1+L1 network A90 approximation,4498,1.5767498267498266,2.9750417415874653,2.414100368415961,3000,0.11033333333333334,0.2713333333333333,0.356,0.5733333333333334,0.6826666666666666,0.906,29.0,90,0.667,450,0.8966666666666666,900,0.9643333333333334,2.0,4.0,0.6771666666666667,,0.25
