detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,feature_set,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time_lr,lambda_sky_log_overlap,lambda_amp_time_lr,lambda_raw_snr_ratio,lambda_waveform_reciprocal_rank,lambda_waveform_margin,lambda_sky_norm_sep,val_selected_r@10,train_pairs,train_positive,fit_predict_elapsed_s
LIGO,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.36866666666666664,0.6015,0.6686666666666666,0.7885,0.8426666666666667,0.9541666666666667,3.0,90,0.8338333333333333,450,0.9488333333333333,900,0.9823333333333333,2.0,4.0,0.25,0.0,,,,,,,
LIGO,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.113,0.273,0.355,0.5773333333333334,0.6853333333333333,0.9083333333333333,29.0,90,0.6676666666666666,450,0.8976666666666666,900,0.9646666666666667,2.0,4.0,0.25,0.0,,,,,,,
LIGO,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.6243333333333333,0.93,0.9823333333333333,0.9996666666666667,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,2.0,4.0,0.25,0.0,,,,,,,
LIGO,noisy,stage5_reranker_model_compare,weighted_sum_stage4_lambdas,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.36866666666666664,0.6015,0.6686666666666666,0.7885,0.8426666666666667,0.9541666666666666,15.0,90,0.8338333333333333,450,0.9488333333333333,900,0.9823333333333333,2.0,4.0,0.25,0.0,,,,,,,
LIGO,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.5455,0.7495,0.8136666666666666,0.9356666666666666,0.967,0.9991666666666666,1.0,90,0.963,450,0.9986666666666667,900,0.9996666666666667,1.0,4.0,0.25,,0.0,0.0,4.0,0.8321666666666667,,,
LIGO,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.32133333333333336,0.54,0.6443333333333333,0.872,0.9343333333333333,0.9983333333333333,4.0,90,0.9263333333333333,450,0.9973333333333333,900,0.9993333333333333,1.0,4.0,0.25,,0.0,0.0,4.0,0.8321666666666667,,,
LIGO,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.7696666666666667,0.959,0.983,0.9993333333333333,0.9996666666666667,1.0,1.0,90,0.9996666666666667,450,1.0,900,1.0,1.0,4.0,0.25,,0.0,0.0,4.0,0.8321666666666667,,,
LIGO,noisy,stage5_reranker_model_compare,weighted_sum_val_selected_extensible,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.5455000000000001,0.7495,0.8136666666666666,0.9356666666666666,0.9670000000000001,0.9991666666666666,2.5,90,0.9630000000000001,450,0.9986666666666666,900,0.9996666666666667,1.0,4.0,0.25,,0.0,0.0,4.0,0.8321666666666667,,,
LIGO,noisy,stage5_reranker_model_compare,logistic_regression,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.0815,0.08333333333333333,0.09283333333333334,0.16616666666666666,0.21666666666666667,0.406,923.0,90,0.20716666666666667,450,0.3895,900,0.496,,,,,,,,,185969.0,5999.0,17.503543205559254
LIGO,noisy,stage5_reranker_model_compare,logistic_regression,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.03966666666666667,0.04133333333333333,0.048,0.09666666666666666,0.13633333333333333,0.2823333333333333,1845.0,90,0.129,450,0.2683333333333333,900,0.3616666666666667,,,,,,,,,185969.0,5999.0,17.503543205559254
LIGO,noisy,stage5_reranker_model_compare,logistic_regression,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.12333333333333334,0.12533333333333332,0.13766666666666666,0.23566666666666666,0.297,0.5296666666666666,423.5,90,0.2853333333333333,450,0.5106666666666667,900,0.6303333333333333,,,,,,,,,185969.0,5999.0,17.503543205559254
LIGO,noisy,stage5_reranker_model_compare,logistic_regression,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.0815,0.08333333333333333,0.09283333333333332,0.16616666666666666,0.21666666666666667,0.40599999999999997,1134.25,90,0.20716666666666667,450,0.3895,900,0.496,,,,,,,,,185969.0,5999.0,17.503543205559254
LIGO,noisy,stage5_reranker_model_compare,hgb,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.31166666666666665,0.5413333333333333,0.6748333333333333,0.8713333333333333,0.9436666666666667,0.9731666666666666,4.0,90,0.9391666666666667,450,0.9721666666666666,900,0.9783333333333334,,,,,,,,,185969.0,5999.0,455.0677726874128
