detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,sky_label,sky_scenario,true_sky_a90_deg2,weight_grid,deployment_note,component_keys,val_selected_r@1,val_selected_r@5,val_selected_r@10,lambda_waveform,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_raw_time,lambda_liao_time_lr,lambda_true_sky_sep,lambda_true_sky_step,lambda_true_sky_log_overlap
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,waveform,0.006833333333333334,0.016666666666666666,0.024,1.0,6000,0.004,0.0145,0.0235,0.06533333333333333,0.096,0.22816666666666666,2431.0,90,0.09,450,0.21633333333333332,900,0.30533333333333335,,,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,waveform,0.006833333333333334,0.016666666666666666,0.024,1.0,3000,0.004333333333333333,0.015,0.025666666666666667,0.07333333333333333,0.10766666666666666,0.2653333333333333,2026.0,90,0.10333333333333333,450,0.25233333333333335,900,0.3536666666666667,,,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,waveform,0.006833333333333334,0.016666666666666666,0.024,1.0,3000,0.0036666666666666666,0.014,0.021333333333333333,0.05733333333333333,0.08433333333333333,0.191,2875.0,90,0.07666666666666666,450,0.18033333333333335,900,0.257,,,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,waveform,0.006833333333333334,0.016666666666666666,0.024,1.0,6000,0.004,0.014499999999999999,0.0235,0.06533333333333333,0.096,0.22816666666666666,2450.5,90,0.09,450,0.21633333333333335,900,0.30533333333333335,,,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,raw_time_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,raw_time,0.14033333333333334,0.4075,0.5303333333333333,,6000,0.1365,0.4116666666666667,0.5308333333333334,0.6331666666666667,0.6896666666666667,0.8473333333333334,9.0,90,0.6778333333333333,450,0.8386666666666667,900,0.9093333333333333,1.0,,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,raw_time_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,raw_time,0.14033333333333334,0.4075,0.5303333333333333,,3000,0.009333333333333334,0.053,0.10266666666666667,0.2663333333333333,0.37933333333333336,0.6946666666666667,188.0,90,0.3556666666666667,450,0.6773333333333333,900,0.8186666666666667,1.0,,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,raw_time_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,raw_time,0.14033333333333334,0.4075,0.5303333333333333,,3000,0.26366666666666666,0.7703333333333333,0.959,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,1.0,,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,raw_time_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,raw_time,0.14033333333333334,0.4075,0.5303333333333333,,6000,0.1365,0.4116666666666667,0.5308333333333333,0.6331666666666667,0.6896666666666667,0.8473333333333333,95.5,90,0.6778333333333333,450,0.8386666666666667,900,0.9093333333333333,1.0,,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,liao_time_lr_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,liao_time_lr,0.14883333333333335,0.4085,0.5225,,6000,0.1445,0.4126666666666667,0.5273333333333333,0.6398333333333334,0.6941666666666667,0.854,9.0,90,0.686,450,0.8396666666666667,900,0.9168333333333333,,1.0,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,liao_time_lr_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,liao_time_lr,0.14883333333333335,0.4085,0.5225,,3000,0.011333333333333334,0.057666666666666665,0.11066666666666666,0.2796666666666667,0.3883333333333333,0.708,176.0,90,0.372,450,0.6793333333333333,900,0.8336666666666667,,1.0,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,liao_time_lr_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,liao_time_lr,0.14883333333333335,0.4085,0.5225,,3000,0.2776666666666667,0.7676666666666667,0.944,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,1.0,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,liao_time_lr_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,liao_time_lr,0.14883333333333335,0.4085,0.5225,,6000,0.14450000000000002,0.4126666666666667,0.5273333333333333,0.6398333333333334,0.6941666666666666,0.854,89.5,90,0.6859999999999999,450,0.8396666666666667,900,0.9168333333333334,,1.0,,,
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_sep_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_sep,1.0,1.0,1.0,,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,1.0,,
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_sep_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_sep,1.0,1.0,1.0,,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,1.0,,
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_sep_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_sep,1.0,1.0,1.0,,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,1.0,,
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_sep_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_sep,1.0,1.0,1.0,,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,1.0,,
LIGO,noisy,stage8_true_sky_oracle_combinations,true_sky_step_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,true_sky_step,1.0,1.0,1.0,,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,1.0,
