detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,liao_delay_median_days,liao_delay_p90_days,random_delay_median_days,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time_step,val_selected_r@10,lambda_liao_time
ET,noisy,stage1_liao_time_lr,liao_time_step_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,6000,0.499,0.499,0.499,0.5001666666666666,0.5003333333333333,0.5016666666666667,34.0,90,0.5001666666666666,450,0.5015,900,0.5175,,,
ET,noisy,stage1_liao_time_lr,liao_time_step_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,3000,0.8213333333333334,0.8213333333333334,0.8213333333333334,0.8236666666666667,0.824,0.8266666666666667,1.0,90,0.8236666666666667,450,0.8263333333333334,900,0.8353333333333334,,,
ET,noisy,stage1_liao_time_lr,liao_time_step_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,3000,0.17666666666666667,0.17666666666666667,0.17666666666666667,0.17666666666666667,0.17666666666666667,0.17666666666666667,1396.0,90,0.17666666666666667,450,0.17666666666666667,900,0.19966666666666666,,,
ET,noisy,stage1_liao_time_lr,liao_time_step_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,6000,0.499,0.499,0.499,0.5001666666666666,0.5003333333333333,0.5016666666666667,698.5,90,0.5001666666666666,450,0.5015000000000001,900,0.5175000000000001,,,
ET,noisy,stage1_liao_time_lr,liao_time_lr_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,6000,0.13316666666666666,0.4085,0.5281666666666667,0.6373333333333333,0.6956666666666667,0.855,9.0,90,0.686,450,0.845,900,0.9161666666666667,,,
ET,noisy,stage1_liao_time_lr,liao_time_lr_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,3000,0.013666666666666667,0.05566666666666667,0.10866666666666666,0.27466666666666667,0.3913333333333333,0.71,172.0,90,0.372,450,0.69,900,0.8323333333333334,,,
ET,noisy,stage1_liao_time_lr,liao_time_lr_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,3000,0.25266666666666665,0.7613333333333333,0.9476666666666667,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,,
ET,noisy,stage1_liao_time_lr,liao_time_lr_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,6000,0.13316666666666666,0.4085,0.5281666666666667,0.6373333333333333,0.6956666666666667,0.855,87.5,90,0.6859999999999999,450,0.845,900,0.9161666666666667,,,
ET,noisy,stage1_liao_time_lr,waveform_plus_liao_time_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,6000,0.329,0.5351666666666667,0.614,0.7543333333333333,0.8075,0.896,4.0,90,0.7998333333333333,450,0.892,900,0.9201666666666667,0.25,0.61,
ET,noisy,stage1_liao_time_lr,waveform_plus_liao_time_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,3000,0.481,0.6623333333333333,0.7186666666666667,0.8113333333333334,0.8543333333333333,0.9346666666666666,2.0,90,0.849,450,0.9303333333333333,900,0.9566666666666667,0.25,0.61,
ET,noisy,stage1_liao_time_lr,waveform_plus_liao_time_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,3000,0.177,0.408,0.5093333333333333,0.6973333333333334,0.7606666666666667,0.8573333333333333,10.0,90,0.7506666666666667,450,0.8536666666666667,900,0.8836666666666667,0.25,0.61,
ET,noisy,stage1_liao_time_lr,waveform_plus_liao_time_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,6000,0.32899999999999996,0.5351666666666667,0.614,0.7543333333333333,0.8075,0.8959999999999999,6.0,90,0.7998333333333334,450,0.892,900,0.9201666666666667,0.25,0.61,
ET,noisy,stage1_liao_time_lr,waveform_plus_liao_time_lr_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,6000,0.6111666666666666,0.7526666666666667,0.8015,0.8928333333333334,0.93,0.984,1.0,90,0.9243333333333333,450,0.9816666666666667,900,0.9915,,0.8178333333333333,1.0
ET,noisy,stage1_liao_time_lr,waveform_plus_liao_time_lr_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,3000,0.43466666666666665,0.625,0.695,0.8223333333333334,0.877,0.97,2.0,90,0.868,450,0.9653333333333334,900,0.983,,0.8178333333333333,1.0
ET,noisy,stage1_liao_time_lr,waveform_plus_liao_time_lr_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,3000,0.7876666666666666,0.8803333333333333,0.908,0.9633333333333334,0.983,0.998,1.0,90,0.9806666666666667,450,0.998,900,1.0,,0.8178333333333333,1.0
ET,noisy,stage1_liao_time_lr,waveform_plus_liao_time_lr_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,1087.216818702414,6000,0.6111666666666666,0.7526666666666666,0.8015,0.8928333333333334,0.9299999999999999,0.984,1.5,90,0.9243333333333333,450,0.9816666666666667,900,0.9915,,0.8178333333333333,1.0
LIGO,noisy,stage1_liao_time_lr,liao_time_step_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,1087.216818666382,6000,0.5253333333333333,0.5253333333333333,0.5253333333333333,0.5263333333333333,0.5266666666666666,0.5285,1.0,90,0.5266666666666666,450,0.528,900,0.5485,,,
LIGO,noisy,stage1_liao_time_lr,liao_time_step_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,1087.216818666382,3000,0.8213333333333334,0.8213333333333334,0.8213333333333334,0.8233333333333334,0.824,0.8276666666666667,1.0,90,0.824,450,0.8266666666666667,900,0.8363333333333334,,,
LIGO,noisy,stage1_liao_time_lr,liao_time_step_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,1087.216818666382,3000,0.22933333333333333,0.22933333333333333,0.22933333333333333,0.22933333333333333,0.22933333333333333,0.22933333333333333,1293.0,90,0.22933333333333333,450,0.22933333333333333,900,0.26066666666666666,,,
LIGO,noisy,stage1_liao_time_lr,liao_time_step_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,1087.216818666382,6000,0.5253333333333333,0.5253333333333333,0.5253333333333333,0.5263333333333333,0.5266666666666666,0.5285,647.0,90,0.5266666666666666,450,0.528,900,0.5485,,,
LIGO,noisy,stage1_liao_time_lr,liao_time_lr_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,1087.216818666382,6000,0.1445,0.4126666666666667,0.5273333333333333,0.6398333333333334,0.6941666666666667,0.854,9.0,90,0.686,450,0.8396666666666667,900,0.9168333333333333,,,
LIGO,noisy,stage1_liao_time_lr,liao_time_lr_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,1087.216818666382,3000,0.011333333333333334,0.057666666666666665,0.11066666666666666,0.2796666666666667,0.3883333333333333,0.708,176.0,90,0.372,450,0.6793333333333333,900,0.8336666666666667,,,
