detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_sky_step,val_selected_r@10,lambda_sky_log_overlap
ET,noisy,stage2_observed_sky,observed_sky_step_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,6000,0.7496666666666667,0.752,0.778,0.9801666666666666,0.995,1.0,1.0,90,0.9943333333333333,450,0.9998333333333334,900,1.0,,,
ET,noisy,stage2_observed_sky,observed_sky_step_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,3000,0.746,0.7486666666666667,0.7756666666666666,0.9853333333333333,0.9986666666666667,1.0,1.0,90,0.9976666666666667,450,1.0,900,1.0,,,
ET,noisy,stage2_observed_sky,observed_sky_step_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,3000,0.7533333333333333,0.7553333333333333,0.7803333333333333,0.975,0.9913333333333333,1.0,1.0,90,0.991,450,0.9996666666666667,900,1.0,,,
ET,noisy,stage2_observed_sky,observed_sky_step_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,6000,0.7496666666666667,0.752,0.778,0.9801666666666666,0.995,1.0,1.0,90,0.9943333333333333,450,0.9998333333333334,900,1.0,,,
ET,noisy,stage2_observed_sky,observed_sky_log_overlap_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,6000,0.23566666666666666,0.5878333333333333,0.7531666666666667,0.9628333333333333,0.9896666666666667,0.9996666666666667,4.0,90,0.9861666666666666,450,0.9993333333333333,900,1.0,,,
ET,noisy,stage2_observed_sky,observed_sky_log_overlap_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,3000,0.246,0.61,0.7816666666666666,0.975,0.9956666666666667,1.0,4.0,90,0.9936666666666667,450,0.9996666666666667,900,1.0,,,
ET,noisy,stage2_observed_sky,observed_sky_log_overlap_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,3000,0.22533333333333333,0.5656666666666667,0.7246666666666667,0.9506666666666667,0.9836666666666667,0.9993333333333333,4.0,90,0.9786666666666667,450,0.999,900,1.0,,,
ET,noisy,stage2_observed_sky,observed_sky_log_overlap_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,6000,0.23566666666666666,0.5878333333333333,0.7531666666666667,0.9628333333333333,0.9896666666666667,0.9996666666666667,4.0,90,0.9861666666666666,450,0.9993333333333334,900,1.0,,,
ET,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,6000,0.7738333333333334,0.888,0.9151666666666667,0.9535,0.9628333333333333,0.983,1.0,90,0.9615,450,0.9816666666666667,900,0.988,0.25,0.9158333333333334,
ET,noisy,stage2_observed_sky,waveform_plus_observed_sky_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,ET single-site baseline A90=300 deg2,300.0,50.0,344.56466253016436,3000,0.81,0.921,0.9443333333333334,0.9726666666666667,0.9786666666666667,0.99,1.0,90,0.9773333333333334,450,0.9893333333333333,900,0.992,0.25,0.9158333333333334,
