detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,liao_delay_median_days,liao_delay_p90_days,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time,lambda_observed_sky,val_selected_r@10
ET,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET single-site baseline A90=300 deg2,300.0,50.0,354.44608587469935,6000,0.896,0.9708333333333333,0.9825,0.9955,0.9973333333333333,0.9996666666666667,1.0,90,0.9971666666666666,450,0.9996666666666667,900,0.9996666666666667,1.0,0.5,0.9856666666666667
ET,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET single-site baseline A90=300 deg2,300.0,50.0,354.44608587469935,3000,0.843,0.9553333333333334,0.9716666666666667,0.9916666666666667,0.9953333333333333,0.9993333333333333,1.0,90,0.995,450,0.9993333333333333,900,0.9993333333333333,1.0,0.5,0.9856666666666667
ET,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET single-site baseline A90=300 deg2,300.0,50.0,354.44608587469935,3000,0.949,0.9863333333333333,0.9933333333333333,0.9993333333333333,0.9993333333333333,1.0,1.0,90,0.9993333333333333,450,1.0,900,1.0,1.0,0.5,0.9856666666666667
ET,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET single-site baseline A90=300 deg2,300.0,50.0,354.44608587469935,6000,0.8959999999999999,0.9708333333333333,0.9824999999999999,0.9955,0.9973333333333333,0.9996666666666667,1.0,90,0.9971666666666666,450,0.9996666666666667,900,0.9996666666666667,1.0,0.5,0.9856666666666667
ET,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET single-site baseline A90=300 deg2,300.0,50.0,354.44608587469935,6000,0.7795,0.8826666666666667,0.9176666666666666,0.974,0.988,0.9981666666666666,1.0,90,0.9865,450,0.9975,900,0.9995,1.0,4.0,0.9298333333333333
ET,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET single-site baseline A90=300 deg2,300.0,50.0,354.44608587469935,3000,0.6653333333333333,0.8076666666666666,0.8573333333333333,0.951,0.9766666666666667,0.9963333333333333,1.0,90,0.974,450,0.995,900,0.999,1.0,4.0,0.9298333333333333
ET,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET single-site baseline A90=300 deg2,300.0,50.0,354.44608587469935,3000,0.8936666666666667,0.9576666666666667,0.978,0.997,0.9993333333333333,1.0,1.0,90,0.999,450,1.0,900,1.0,1.0,4.0,0.9298333333333333
ET,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,37.378045,284.69784000000004,ET single-site baseline A90=300 deg2,300.0,50.0,354.44608587469935,6000,0.7795000000000001,0.8826666666666667,0.9176666666666666,0.974,0.988,0.9981666666666666,1.0,90,0.9864999999999999,450,0.9975,900,0.9995,1.0,4.0,0.9298333333333333
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO/2.5G HL-like baseline A90=100 deg2,100.0,399.35166964003207,500.0,6000,0.658,0.8566666666666667,0.9073333333333333,0.9803333333333333,0.9908333333333333,0.9986666666666667,1.0,90,0.9903333333333333,450,0.9985,900,0.9993333333333333,4.0,2.0,0.9121666666666667
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO/2.5G HL-like baseline A90=100 deg2,100.0,399.35166964003207,500.0,3000,0.43266666666666664,0.7263333333333334,0.8196666666666667,0.9606666666666667,0.9816666666666667,0.9973333333333333,2.0,90,0.9806666666666667,450,0.997,900,0.9986666666666667,4.0,2.0,0.9121666666666667
LIGO,noisy,stage3_liao_time_plus_observed_sky,waveform_plus_liao_time_lr_plus_observed_sky_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,32.384765,269.50177000000025,LIGO/2.5G HL-like baseline A90=100 deg2,100.0,399.35166964003207,500.0,3000,0.8833333333333333,0.987,0.995,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,4.0,2.0,0.9121666666666667
