detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,observed_sky_label,amp_prior_pair_count,liao_snr_ratio_median,liao_snr_ratio_p90,random_snr_ratio_median,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time_lr,lambda_sky_log_overlap,val_selected_r@10,lambda_raw_snr_ratio,lambda_amp_time_lr
ET,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET single-site baseline A90=300 deg2,4388,1.6140327476858123,3.19175121840789,2.5282416085094357,6000,0.78,0.8833333333333333,0.9186666666666666,0.9731666666666666,0.9885,0.9978333333333333,1.0,90,0.9861666666666666,450,0.9973333333333333,900,0.9995,1.0,4.0,0.9313333333333333,,
ET,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET single-site baseline A90=300 deg2,4388,1.6140327476858123,3.19175121840789,2.5282416085094357,3000,0.6646666666666666,0.808,0.86,0.9496666666666667,0.9773333333333334,0.9956666666666667,1.0,90,0.973,450,0.9946666666666667,900,0.999,1.0,4.0,0.9313333333333333,,
ET,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET single-site baseline A90=300 deg2,4388,1.6140327476858123,3.19175121840789,2.5282416085094357,3000,0.8953333333333333,0.9586666666666667,0.9773333333333334,0.9966666666666667,0.9996666666666667,1.0,1.0,90,0.9993333333333333,450,1.0,900,1.0,1.0,4.0,0.9313333333333333,,
ET,noisy,stage4_snr_amplitude_prior,waveform_plus_time_lr_plus_sky_log_overlap,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET single-site baseline A90=300 deg2,4388,1.6140327476858123,3.19175121840789,2.5282416085094357,6000,0.78,0.8833333333333333,0.9186666666666667,0.9731666666666667,0.9885,0.9978333333333333,1.0,90,0.9861666666666666,450,0.9973333333333334,900,0.9995,1.0,4.0,0.9313333333333333,,
ET,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET single-site baseline A90=300 deg2,4388,1.6140327476858123,3.19175121840789,2.5282416085094357,6000,0.782,0.8876666666666667,0.921,0.9728333333333333,0.9875,0.9971666666666666,1.0,90,0.985,450,0.997,900,0.999,1.0,4.0,0.9313333333333333,0.25,
ET,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET single-site baseline A90=300 deg2,4388,1.6140327476858123,3.19175121840789,2.5282416085094357,3000,0.676,0.8213333333333334,0.8666666666666667,0.9503333333333334,0.9756666666666667,0.9943333333333333,1.0,90,0.972,450,0.994,900,0.998,1.0,4.0,0.9313333333333333,0.25,
ET,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET single-site baseline A90=300 deg2,4388,1.6140327476858123,3.19175121840789,2.5282416085094357,3000,0.888,0.954,0.9753333333333334,0.9953333333333333,0.9993333333333333,1.0,1.0,90,0.998,450,1.0,900,1.0,1.0,4.0,0.9313333333333333,0.25,
ET,noisy,stage4_snr_amplitude_prior,plus_raw_snr_ratio,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET single-site baseline A90=300 deg2,4388,1.6140327476858123,3.19175121840789,2.5282416085094357,6000,0.782,0.8876666666666666,0.921,0.9728333333333333,0.9875,0.9971666666666666,1.0,90,0.985,450,0.997,900,0.999,1.0,4.0,0.9313333333333333,0.25,
ET,noisy,stage4_snr_amplitude_prior,plus_amp_time_2d_lr,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET single-site baseline A90=300 deg2,4388,1.6140327476858123,3.19175121840789,2.5282416085094357,6000,0.78,0.8833333333333333,0.9186666666666666,0.9731666666666666,0.9885,0.9978333333333333,1.0,90,0.9861666666666666,450,0.9973333333333333,900,0.9995,1.0,4.0,0.9313333333333333,,0.0
ET,noisy,stage4_snr_amplitude_prior,plus_amp_time_2d_lr,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,ET single-site baseline A90=300 deg2,4388,1.6140327476858123,3.19175121840789,2.5282416085094357,3000,0.6646666666666666,0.808,0.86,0.9496666666666667,0.9773333333333334,0.9956666666666667,1.0,90,0.973,450,0.9946666666666667,900,0.999,1.0,4.0,0.9313333333333333,,0.0
