family,channel_mode,out_dir,r@1,r@5,r@10,mrr,median_rank,candidate_pair_recall,mean_epoch_s,total_s
SIS,all,runs/ligo_channel_mode_sweep_20260601/SIS_noisy_channel_all_bp30_512_n2500_ep12,0.029333333333333333,0.07066666666666667,0.088,0.054948787064210726,332.0,0.09866666666666667,1.737028648921599,57.46488459408283
SIS,first,runs/ligo_channel_mode_sweep_20260601/SIS_noisy_channel_first_bp30_512_n2500_ep12,0.02266666666666667,0.042666666666666665,0.05466666666666667,0.03649456654920346,368.0,0.064,1.6991170087518792,59.574275966733694
SIS,second,runs/ligo_channel_mode_sweep_20260601/SIS_noisy_channel_second_bp30_512_n2500_ep12,0.021333333333333333,0.04933333333333333,0.08666666666666667,0.04341183227168942,364.5,0.104,1.7010562115659316,53.85101440176368
SIS,mean,runs/ligo_channel_mode_sweep_20260601/SIS_noisy_channel_mean_bp30_512_n2500_ep12,0.010666666666666666,0.042666666666666665,0.058666666666666666,0.031153672904270555,461.0,0.06933333333333333,1.7703105077768366,55.9653307069093
SIS,diff,runs/ligo_channel_mode_sweep_20260601/SIS_noisy_channel_diff_bp30_512_n2500_ep12,0.014666666666666666,0.048,0.07466666666666667,0.03545619431454532,370.0,0.09333333333333334,1.7340808558898668,52.805265164002776
SIS,rss,runs/ligo_channel_mode_sweep_20260601/SIS_noisy_channel_rss_bp30_512_n2500_ep12,0.021333333333333333,0.04133333333333333,0.06,0.03860103836711223,376.0,0.072,2.1062885311742625,57.83708496391773
PM,all,runs/ligo_channel_mode_sweep_20260601/PM_noisy_channel_all_bp30_512_n2500_ep12,0.009333333333333334,0.04133333333333333,0.06933333333333333,0.030643271893325445,416.5,0.08266666666666667,1.7386354026384652,56.461037915199995
PM,first,runs/ligo_channel_mode_sweep_20260601/PM_noisy_channel_first_bp30_512_n2500_ep12,0.02,0.04,0.06,0.03686064535949464,365.5,0.072,1.715660754746447,54.865705681964755
PM,second,runs/ligo_channel_mode_sweep_20260601/PM_noisy_channel_second_bp30_512_n2500_ep12,0.016,0.04533333333333334,0.052,0.0328905681056242,439.5,0.058666666666666666,1.6877836165949702,55.15673470683396
PM,mean,runs/ligo_channel_mode_sweep_20260601/PM_noisy_channel_mean_bp30_512_n2500_ep12,0.008,0.021333333333333333,0.034666666666666665,0.020049358719113796,448.0,0.048,1.7967239584152896,56.59113890491426
PM,diff,runs/ligo_channel_mode_sweep_20260601/PM_noisy_channel_diff_bp30_512_n2500_ep12,0.010666666666666666,0.02666666666666667,0.04666666666666667,0.02522511723142975,433.5,0.056,1.7162634617028136,59.89681086875498
PM,rss,runs/ligo_channel_mode_sweep_20260601/PM_noisy_channel_rss_bp30_512_n2500_ep12,0.008,0.02266666666666667,0.042666666666666665,0.020419961456111514,488.0,0.06133333333333333,1.975060986354947,79.26564309000969
