detector,data_mode,family,feature_set,model,features,val_auc,r@1,r@5,r@10,r@50,r@100,r@500,median_rank,valid
LIGO,noisy,SIS,time_only,hgb_base,logdt,0.9485808882222222,0.21933333333333332,0.21933333333333332,0.22566666666666665,0.4093333333333333,0.532,0.8476666666666667,88.0,3000
LIGO,noisy,SIS,time_only,hgb_deep,logdt,0.9487642142222221,0.21933333333333332,0.21933333333333332,0.22566666666666665,0.4093333333333333,0.5316666666666666,0.838,88.0,3000
LIGO,noisy,SIS,time_sigma,hgb_base,"logdt,sigma_pair,sigma_min,sigma_max",0.9789126266666666,0.06766666666666667,0.155,0.21833333333333332,0.43933333333333335,0.5663333333333334,0.869,69.0,3000
LIGO,noisy,SIS,time_sigma,hgb_deep,"logdt,sigma_pair,sigma_min,sigma_max",0.9892936302222222,0.06166666666666667,0.14466666666666667,0.20333333333333334,0.4206666666666667,0.5403333333333333,0.858,81.0,3000
LIGO,noisy,SIS,time_snr,hgb_base,"logdt,snr_min,snr_max,snr_logratio,snr_sum",0.9799311988888888,0.06133333333333333,0.15666666666666668,0.22266666666666668,0.45266666666666666,0.573,0.8726666666666667,65.0,3000
LIGO,noisy,SIS,time_snr,hgb_deep,"logdt,snr_min,snr_max,snr_logratio,snr_sum",0.9906443820000002,0.05633333333333333,0.148,0.20666666666666667,0.42233333333333334,0.56,0.8493333333333334,75.0,3000
LIGO,noisy,SIS,time_sigma_snr,hgb_base,"logdt,sigma_pair,sigma_min,sigma_max,snr_min,snr_max,snr_logratio,snr_sum",0.9803282315555555,0.063,0.154,0.22733333333333333,0.446,0.576,0.872,69.0,3000
LIGO,noisy,SIS,time_sigma_snr,hgb_deep,"logdt,sigma_pair,sigma_min,sigma_max,snr_min,snr_max,snr_logratio,snr_sum",0.9910484702222222,0.059,0.149,0.20966666666666667,0.42433333333333334,0.5473333333333333,0.8523333333333334,75.0,3000
LIGO,noisy,SIS,time_waveform,hgb_base,"logdt,score,rrank",0.9604667469999999,0.088,0.177,0.23433333333333334,0.4196666666666667,0.546,0.8483333333333334,79.0,3000
LIGO,noisy,SIS,time_waveform,hgb_deep,"logdt,score,rrank",0.9665053091111111,0.09166666666666666,0.18666666666666668,0.24666666666666667,0.427,0.545,0.8333333333333334,78.0,3000
LIGO,noisy,SIS,all_observable,hgb_base,"logdt,score,rrank,sigma_pair,sigma_min,sigma_max,snr_min,snr_max,snr_logratio,snr_sum",0.982959904,0.09266666666666666,0.20366666666666666,0.2633333333333333,0.4723333333333333,0.598,0.8816666666666667,60.0,3000
LIGO,noisy,SIS,all_observable,hgb_deep,"logdt,score,rrank,sigma_pair,sigma_min,sigma_max,snr_min,snr_max,snr_logratio,snr_sum",0.9924937304444444,0.08966666666666667,0.18533333333333332,0.244,0.4673333333333333,0.577,0.8613333333333333,63.0,3000
LIGO,noisy,PM,time_only,hgb_base,logdt,0.9989186666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3000
LIGO,noisy,PM,time_only,hgb_deep,logdt,0.9989186666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3000
LIGO,noisy,PM,time_sigma,hgb_base,"logdt,sigma_pair,sigma_min,sigma_max",0.9995115757777778,0.39166666666666666,0.7913333333333333,0.9556666666666667,1.0,1.0,1.0,2.0,3000
LIGO,noisy,PM,time_sigma,hgb_deep,"logdt,sigma_pair,sigma_min,sigma_max",0.9995022202222222,0.4696666666666667,0.7986666666666666,0.955,0.9986666666666667,0.9986666666666667,0.9986666666666667,2.0,3000
LIGO,noisy,PM,time_snr,hgb_base,"logdt,snr_min,snr_max,snr_logratio,snr_sum",0.9994764822222222,0.593,0.8186666666666667,0.9566666666666667,0.9993333333333333,0.9993333333333333,0.9993333333333333,1.0,3000
LIGO,noisy,PM,time_snr,hgb_deep,"logdt,snr_min,snr_max,snr_logratio,snr_sum",0.9996235993333332,0.2956666666666667,0.764,0.9506666666666667,0.9993333333333333,0.9993333333333333,0.9993333333333333,3.0,3000
LIGO,noisy,PM,time_sigma_snr,hgb_base,"logdt,sigma_pair,sigma_min,sigma_max,snr_min,snr_max,snr_logratio,snr_sum",0.9994977206666666,0.5853333333333334,0.8113333333333334,0.9503333333333334,0.998,0.998,0.998,1.0,3000
LIGO,noisy,PM,time_sigma_snr,hgb_deep,"logdt,sigma_pair,sigma_min,sigma_max,snr_min,snr_max,snr_logratio,snr_sum",0.999590041111111,0.325,0.774,0.9533333333333334,1.0,1.0,1.0,3.0,3000
LIGO,noisy,PM,time_waveform,hgb_base,"logdt,score,rrank",0.9993378973333333,0.259,0.6433333333333333,0.9003333333333333,1.0,1.0,1.0,4.0,3000
LIGO,noisy,PM,time_waveform,hgb_deep,"logdt,score,rrank",0.9994128555555556,0.24933333333333332,0.6326666666666667,0.9016666666666666,1.0,1.0,1.0,4.0,3000
LIGO,noisy,PM,all_observable,hgb_base,"logdt,score,rrank,sigma_pair,sigma_min,sigma_max,snr_min,snr_max,snr_logratio,snr_sum",0.9994734257777779,0.6253333333333333,0.8353333333333334,0.9593333333333334,1.0,1.0,1.0,1.0,3000
LIGO,noisy,PM,all_observable,hgb_deep,"logdt,score,rrank,sigma_pair,sigma_min,sigma_max,snr_min,snr_max,snr_logratio,snr_sum",0.9988236547777777,0.597,0.824,0.9573333333333334,0.9986666666666667,0.9986666666666667,0.9986666666666667,1.0,3000
