family,name,out_dir,r@1,r@5,r@10,mrr,median_rank,candidate_pair_recall,mean_epoch_s,total_s
SIS,none,runs/ligo_noisy_preproc_sweep_20260601/SIS_noisy_none_n2500_ep12,0.018666666666666668,0.06266666666666666,0.08666666666666667,0.04496187679910437,293.0,0.09866666666666667,1.719271017704159,60.86561983451247
SIS,bandpass_20_512,runs/ligo_noisy_preproc_sweep_20260601/SIS_noisy_bandpass_20_512_n2500_ep12,0.02666666666666667,0.048,0.08266666666666667,0.0464734692375326,321.5,0.10933333333333334,1.7297778798577685,58.53755320049822
SIS,bandpass_30_512,runs/ligo_noisy_preproc_sweep_20260601/SIS_noisy_bandpass_30_512_n2500_ep12,0.037333333333333336,0.076,0.10933333333333334,0.06369234377630481,254.5,0.13066666666666665,1.7467312649823725,58.416005332022905
SIS,bandpass_40_580,runs/ligo_noisy_preproc_sweep_20260601/SIS_noisy_bandpass_40_580_n2500_ep12,0.028,0.07066666666666667,0.09866666666666667,0.054134198571013,301.5,0.11733333333333333,1.7486815104881923,60.61222327686846
SIS,whiten,runs/ligo_noisy_preproc_sweep_20260601/SIS_noisy_whiten_n2500_ep12,0.024,0.06933333333333333,0.096,0.05032575332194252,287.0,0.10666666666666667,1.7976929118546348,58.66250080615282
SIS,whiten_bandpass_20_512,runs/ligo_noisy_preproc_sweep_20260601/SIS_noisy_whiten_bandpass_20_512_n2500_ep12,0.012,0.03866666666666667,0.06666666666666667,0.03471066133945853,292.5,0.08266666666666667,1.8122162960159283,53.49233593046665
SIS,whiten_bandpass_30_512,runs/ligo_noisy_preproc_sweep_20260601/SIS_noisy_whiten_bandpass_30_512_n2500_ep12,0.017333333333333333,0.050666666666666665,0.072,0.04057543917824755,378.5,0.09066666666666667,1.7858066335320473,55.64659324847162
SIS,multiband,runs/ligo_noisy_preproc_sweep_20260601/SIS_noisy_multiband_n2500_ep12,0.018666666666666668,0.037333333333333336,0.06533333333333333,0.03565946398817317,382.0,0.088,3.0545081587818763,78.22376154176891
SIS,bandpass_pureaux,runs/ligo_noisy_preproc_sweep_20260601/SIS_noisy_bandpass_pureaux_n2500_ep12,0.02,0.04,0.05333333333333334,0.0348835726130418,367.5,0.06666666666666667,4.8200057636325555,99.71083961799741
SIS,whiten_bandpass_pureaux,runs/ligo_noisy_preproc_sweep_20260601/SIS_noisy_whiten_bandpass_pureaux_n2500_ep12,0.014666666666666666,0.04133333333333333,0.05733333333333333,0.03276669997406461,413.0,0.06666666666666667,4.86266254587099,96.57153131999075
PM,none,runs/ligo_noisy_preproc_sweep_20260601/PM_noisy_none_n2500_ep12,0.016,0.044,0.064,0.035105252447992855,394.0,0.08,1.708930538656811,55.89588123001158
PM,bandpass_20_512,runs/ligo_noisy_preproc_sweep_20260601/PM_noisy_bandpass_20_512_n2500_ep12,0.012,0.03866666666666667,0.058666666666666666,0.031416118517085714,416.0,0.07733333333333334,1.7624755206828315,56.93066200427711
PM,bandpass_30_512,runs/ligo_noisy_preproc_sweep_20260601/PM_noisy_bandpass_30_512_n2500_ep12,0.014666666666666666,0.048,0.072,0.034524888277933666,385.0,0.10133333333333333,1.7243718105989199,65.24289961531758
PM,bandpass_40_580,runs/ligo_noisy_preproc_sweep_20260601/PM_noisy_bandpass_40_580_n2500_ep12,0.010666666666666666,0.03333333333333333,0.048,0.027301609650159632,407.5,0.05333333333333334,1.7602707375772297,69.27052686549723
PM,whiten,runs/ligo_noisy_preproc_sweep_20260601/PM_noisy_whiten_n2500_ep12,0.009333333333333334,0.029333333333333333,0.04133333333333333,0.023904488304346178,409.0,0.05333333333333334,1.8152599912136793,55.221417516469955
PM,whiten_bandpass_20_512,runs/ligo_noisy_preproc_sweep_20260601/PM_noisy_whiten_bandpass_20_512_n2500_ep12,0.008,0.02666666666666667,0.04,0.021606041729977116,461.0,0.048,1.8068953139397006,59.576051665470004
PM,whiten_bandpass_30_512,runs/ligo_noisy_preproc_sweep_20260601/PM_noisy_whiten_bandpass_30_512_n2500_ep12,0.006666666666666667,0.037333333333333336,0.056,0.027506292781145993,414.0,0.072,1.8000298930952947,55.771752540022135
PM,multiband,runs/ligo_noisy_preproc_sweep_20260601/PM_noisy_multiband_n2500_ep12,0.024,0.04533333333333334,0.064,0.04068350001551097,411.5,0.07733333333333334,3.07758591712142,71.2622134052217
PM,bandpass_pureaux,runs/ligo_noisy_preproc_sweep_20260601/PM_noisy_bandpass_pureaux_n2500_ep12,0.004,0.02,0.029333333333333333,0.017450540704631753,468.5,0.034666666666666665,4.794265582536657,102.42649797350168
PM,whiten_bandpass_pureaux,runs/ligo_noisy_preproc_sweep_20260601/PM_noisy_whiten_bandpass_pureaux_n2500_ep12,0.006666666666666667,0.017333333333333333,0.029333333333333333,0.017241376557743663,524.0,0.04,4.863589765348782,98.16818229667842
