family,mode,topk,val_auc,train_examples,train_positive,waveform_r@1,waveform_r@5,waveform_r@10,waveform_r@50,waveform_r@500,waveform_r@1000,waveform_median_true_rank,waveform_valid,aux_r@1,aux_r@5,aux_r@10,aux_r@50,aux_r@500,aux_r@1000,aux_median_true_rank,aux_valid
SIS,realistic,50,0.9996871255945752,225000,282,0.010666666666666666,0.024333333333333332,0.03966666666666667,0.10766666666666666,0.10766666666666666,0.10766666666666666,1000000000.0,3000,0.10433333333333333,0.10766666666666666,0.10766666666666666,0.10766666666666666,0.10766666666666666,0.10766666666666666,1000000000.0,3000
SIS,realistic,100,0.9996791570248558,450000,437,0.010666666666666666,0.024333333333333332,0.03966666666666667,0.10766666666666666,0.158,0.158,1000000000.0,3000,0.146,0.158,0.158,0.158,0.158,0.158,1000000000.0,3000
SIS,realistic,500,0.9995013869151517,2250000,969,0.010666666666666666,0.024333333333333332,0.03966666666666667,0.10766666666666666,0.32233333333333336,0.32233333333333336,1000000000.0,3000,0.23966666666666667,0.31366666666666665,0.32233333333333336,0.32233333333333336,0.32233333333333336,0.32233333333333336,1000000000.0,3000
SIS,realistic,1000,0.9993986423178719,4500000,1345,0.010666666666666666,0.024333333333333332,0.03966666666666667,0.10766666666666666,0.32233333333333336,0.45766666666666667,1000000000.0,3000,0.297,0.42033333333333334,0.449,0.45766666666666667,0.45766666666666667,0.45766666666666667,1000000000.0,3000
SIS,realistic,2000,0.9993435287210467,9000000,1902,0.010666666666666666,0.024333333333333332,0.03966666666666667,0.10766666666666666,0.32233333333333336,0.45766666666666667,1180.5,3000,0.34933333333333333,0.5533333333333333,0.6083333333333333,0.6503333333333333,0.6506666666666666,0.6506666666666666,4.0,3000
PM,realistic,50,0.9999756598729448,225000,239,0.006666666666666667,0.017,0.028,0.078,0.078,0.078,1000000000.0,3000,0.078,0.078,0.078,0.078,0.078,0.078,1000000000.0,3000
PM,realistic,100,0.9999709330748289,450000,342,0.006666666666666667,0.017,0.028,0.078,0.117,0.117,1000000000.0,3000,0.11666666666666667,0.117,0.117,0.117,0.117,0.117,1000000000.0,3000
PM,realistic,500,0.9999720928951954,2250000,776,0.006666666666666667,0.017,0.028,0.078,0.2743333333333333,0.2743333333333333,1000000000.0,3000,0.2723333333333333,0.2743333333333333,0.2743333333333333,0.2743333333333333,0.2743333333333333,0.2743333333333333,1000000000.0,3000
PM,realistic,1000,0.9999731101601501,4500000,1130,0.006666666666666667,0.017,0.028,0.078,0.2743333333333333,0.4046666666666667,1000000000.0,3000,0.397,0.4046666666666667,0.4046666666666667,0.4046666666666667,0.4046666666666667,0.4046666666666667,1000000000.0,3000
PM,realistic,2000,0.9999734001931903,9000000,1773,0.006666666666666667,0.017,0.028,0.078,0.2743333333333333,0.4046666666666667,1446.0,3000,0.5753333333333334,0.6023333333333334,0.6023333333333334,0.6023333333333334,0.6023333333333334,0.6023333333333334,1.0,3000
