epoch,loss,train_r@1,train_r@10
1,4.148060977458954,0.018554687820142135,0.19042969262227416
2,4.009422801434994,0.02799479226814583,0.27473959187045693
3,3.856213614344597,0.033203125960426405,0.34537761425599456
4,3.6718975380063057,0.04687500142608769,0.43196615297347307
5,3.494610197842121,0.07031250218278728,0.5084635559469461
6,3.2667060643434525,0.09993489854969084,0.6054687704890966
7,3.0174500942230225,0.12858073157258332,0.7128906436264515
8,2.6989920884370804,0.20117187965661287,0.8024088703095913
9,2.2223754078149796,0.2955729253590107,0.9003906454890966
10,1.779111336916685,0.4365234477445483,0.9414062704890966
11,1.4760161191225052,0.5312500195577741,0.9638672042638063
12,1.0922975409775972,0.6529948115348816,0.9778646025806665
13,0.8173203878104687,0.7363281436264515,0.988281263038516
14,0.6227742144837976,0.7975260615348816,0.9905599150806665
15,0.48776925355196,0.8463541846722364,0.9912109542638063
16,0.404452221468091,0.8717448078095913,0.9951171986758709
17,0.34084187215194106,0.8925781454890966,0.995442720130086
18,0.32231781259179115,0.9003906417638063,0.9954427219927311
