detector,data_mode,family,variant,method,features,val_auc_sampled,val_r@10,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,mrr,sky_sigma_rad,sky_val_mean_angular_error_rad,sky_val_median_angular_error_rad,train_s,mean_epoch_s,total_s_so_far,train_examples,train_positive,valid
ET,pure,PM,waveform_only,ep50_inceptiontime_bandpass_direct_retrieval,waveform_embedding_cosine_similarity,,0.9903333333333333,0.957,0.9803333333333333,0.9863333333333333,0.9936666666666667,0.995,0.998,1.0,0.9674560942948003,1.5774691104888916,1.5744681358337402,1.5774691104888916,308.8908491740003,6.177478931639343,344.3618863290176,,,
ET,pure,PM,delta_time_only,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.9999991486666667,,0.9956666666666667,0.997,0.997,0.997,0.997,0.997,1.0,,1.5774691104888916,1.5744681358337402,1.5774691104888916,308.8908491740003,6.177478931639343,386.7449908638373,1503000.0,3000.0,3000.0
ET,pure,PM,delta_time_plus_true_sky_sep,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,oracle_sky_sep_from_ra_dec,waveform_score,waveform_reciprocal_rank",1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.5774691104888916,1.5744681358337402,1.5774691104888916,308.8908491740003,6.177478931639343,486.8418108243495,1503000.0,3000.0,3000.0
ET,pure,PM,delta_time_plus_true_sky_overlap,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,oracle_log_sky_overlap_from_ra_dec,waveform_score,waveform_reciprocal_rank",0.9999999955555554,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.5774691104888916,1.5744681358337402,1.5774691104888916,308.8908491740003,6.177478931639343,530.3397715911269,1503000.0,3000.0,3000.0
ET,pure,PM,delta_time_plus_predicted_sky_overlap,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,predicted_log_sky_overlap_from_waveform_sky_model,waveform_score,waveform_reciprocal_rank",0.9999999646666669,,0.9933333333333333,0.9986666666666667,0.999,0.999,0.9993333333333333,0.9993333333333333,1.0,,1.5774691104888916,1.5744681358337402,1.5774691104888916,308.8908491740003,6.177478931639343,639.7163817798719,1503000.0,3000.0,3000.0
ET,noisy,PM,waveform_only,ep50_inceptiontime_bandpass_direct_retrieval,waveform_embedding_cosine_similarity,,0.558,0.29833333333333334,0.4656666666666667,0.5393333333333333,0.7026666666666667,0.765,0.8736666666666667,8.0,0.38036986069227496,1.5451836585998535,1.5610759258270264,1.5451836585998535,305.0644623050466,6.101013383194804,343.80130615178496,,,
ET,noisy,PM,delta_time_only,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.9999032338888889,,0.8573333333333333,0.951,0.987,1.0,1.0,1.0,1.0,,1.5451836585998535,1.5610759258270264,1.5451836585998535,305.0644623050466,6.101013383194804,383.2908909423277,1503000.0,3000.0,3000.0
ET,noisy,PM,delta_time_plus_true_sky_sep,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,oracle_sky_sep_from_ra_dec,waveform_score,waveform_reciprocal_rank",0.9999999996666668,,0.9993333333333333,0.9996666666666667,0.9996666666666667,1.0,1.0,1.0,1.0,,1.5451836585998535,1.5610759258270264,1.5451836585998535,305.0644623050466,6.101013383194804,490.48790008109063,1503000.0,3000.0,3000.0
ET,noisy,PM,delta_time_plus_true_sky_overlap,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,oracle_log_sky_overlap_from_ra_dec,waveform_score,waveform_reciprocal_rank",0.9999999258888889,,0.9986666666666667,1.0,1.0,1.0,1.0,1.0,1.0,,1.5451836585998535,1.5610759258270264,1.5451836585998535,305.0644623050466,6.101013383194804,572.3179281903431,1503000.0,3000.0,3000.0
ET,noisy,PM,delta_time_plus_predicted_sky_overlap,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,predicted_log_sky_overlap_from_waveform_sky_model,waveform_score,waveform_reciprocal_rank",0.9999246437777779,,0.8463333333333334,0.9446666666666667,0.9873333333333333,1.0,1.0,1.0,1.0,,1.5451836585998535,1.5610759258270264,1.5451836585998535,305.0644623050466,6.101013383194804,617.2863702541217,1503000.0,3000.0,3000.0
