epoch,loss,epoch_s,batches,batch_pairs,pairs_per_s
1,3.2864880635820586,7.3168133078143,145,13920,1902.4675653721474
2,1.4834066070359329,6.830636483617127,145,13920,2037.8774413462475
3,1.105588014372464,6.86722476221621,145,13920,2027.0197178616443
4,0.9823647873155001,6.786263265646994,145,13920,2051.2024740426696
5,0.9175803295497237,6.830176381394267,145,13920,2038.014719197993
6,0.8834605722591795,6.795729019679129,145,13920,2048.345359223469
7,0.8470578127893909,6.933914157561958,145,13920,2007.5241319247061
8,0.8181466723310536,6.826453761197627,145,13920,2039.126094887353
9,0.8003930539920412,6.907850969582796,145,13920,2015.098481610802
10,0.7535739721923039,6.527157478034496,145,13920,2132.6281841435957
11,0.7358800111145809,6.392980727367103,145,13920,2177.3880750822846
12,0.7260107642617719,6.726064800284803,145,13920,2069.560792725426
13,0.6884035281066236,6.939954779110849,145,13920,2005.7767583585664
14,0.6556606259839288,6.793604710139334,145,13920,2048.9858615448506
15,0.6396182691228801,6.882379890419543,145,13920,2022.556182836843
16,0.6162465934095711,6.833710108883679,145,13920,2036.9608570173752
17,0.5923277082114384,6.8507520612329245,145,13920,2031.8937067903212
18,0.5368668032103572,6.719890927895904,145,13920,2071.4621932648774
19,0.5731395772818861,6.720651776529849,145,13920,2071.2276819060953
20,0.5422887425998162,6.438015030696988,145,13920,2162.1571142080734
21,0.5171088830150407,6.7377085499465466,145,13920,2065.9842878051522
22,0.48945745496914306,6.835835003294051,145,13920,2036.3276751548617
23,0.44409490731255763,6.663795255124569,145,13920,2088.8997136121925
24,0.4216097483347202,6.533307429403067,145,13920,2130.620692568854
25,0.42339266528343333,6.222001473419368,145,13920,2237.2222281635227
26,0.40855366166295676,6.464647172950208,145,13920,2153.2497640776064
27,0.37721561291094485,6.371630150824785,145,13920,2184.6842441408976
28,0.3431900040856723,6.25976238399744,145,13920,2223.726580354762
29,0.34176859074625476,6.303267517127097,145,13920,2208.378426296661
30,0.32551699177972204,6.850665939040482,145,13920,2031.9192504589798
31,0.33710966955485017,6.873524321243167,145,13920,2025.1619619616602
32,0.2722996510308364,6.883097934536636,145,13920,2022.345189969621
33,0.340688322728564,6.854192208498716,145,13920,2030.8738909802062
34,0.23715473043507543,6.7591312527656555,145,13920,2059.4362617687457
35,0.25016232579304226,6.729020570404828,145,13920,2068.6517234353696
36,0.19982581157879584,6.6898878356441855,145,13920,2080.7523746262646
37,0.27114572765241407,6.805114137008786,145,13920,2045.5204306269857
38,0.14130016208851132,6.786877700127661,145,13920,2051.016773108813
39,0.20505924238341636,6.844770587049425,145,13920,2033.6693279884628
40,0.18820716128524007,6.768860009498894,145,13920,2056.4762722919
41,0.18022506603778438,6.855371872894466,145,13920,2030.524420569867
42,0.16768846351267963,6.812541474588215,145,13920,2043.2903127156956
43,0.20602512994845365,6.907253553159535,145,13920,2015.2727698308795
44,0.18154105154861663,6.790176963433623,145,13920,2050.0202093350163
45,0.11002845553809713,6.9075668985024095,145,13920,2015.1813517749522
46,0.18778567687961562,6.780701854266226,145,13920,2052.8848339264364
47,0.11272352695432973,6.840163358487189,145,13920,2035.039116825805
48,0.13696195403563566,6.792629905976355,145,13920,2049.279909649247
49,0.17161892237109613,6.829045290127397,145,13920,2038.352274530064
50,0.08879800721810295,6.924959099851549,145,13920,2010.1201753377006
