epoch,loss,epoch_s,batches,batch_pairs,pairs_per_s
1,2.0083407714449124,7.659965194761753,145,13920,1817.2406330931053
2,0.5815156439255024,6.689586146734655,145,13920,2080.846213004474
3,0.3129541050771187,6.445514493621886,145,13920,2159.641408575598
4,0.21305000591894677,6.616057666949928,145,13920,2103.9719876591203
5,0.16863632983174817,6.823063192889094,145,13920,2040.1393928913392
6,0.13729758401369227,6.737901878543198,145,13920,2065.925009137955
7,0.11994488619524857,6.9034871477633715,145,13920,2016.3722626049757
8,0.1065015417234651,6.627607648260891,145,13920,2100.3053799741238
9,0.09596548252578439,6.598718305118382,145,13920,2109.5005660724705
10,0.0808303360538236,6.581106557510793,145,13920,2115.1458160350826
11,0.07807632124629514,6.966008709743619,145,13920,1998.2748486273886
12,0.0659996632101207,6.782213757745922,145,13920,2052.4272010893287
13,0.07034837855347272,6.729260226711631,145,13920,2068.5780503397546
14,0.05938539492159054,6.596145689487457,145,13920,2110.323309290282
15,0.056607839375220494,6.63234056904912,145,13920,2098.8065759107594
16,0.052319940397965496,6.796086193062365,145,13920,2048.237706904001
17,0.04795582523119861,6.897803315892816,145,13920,2018.0337656087934
18,0.04635384042972121,6.69520728290081,145,13920,2079.0991842106087
19,0.04352037624038499,6.667643800377846,145,13920,2087.694006571133
20,0.04273454309280576,6.721668711863458,145,13920,2070.914321533252
21,0.04341887167558588,6.611590241082013,145,13920,2105.3936333661745
22,0.04200056150298694,6.80711767077446,145,13920,2044.918374154724
23,0.03985384385390528,6.772445110604167,145,13920,2055.3876439994065
24,0.037073350119693524,6.708807696588337,145,13920,2074.884335569613
25,0.03813524641867342,6.683757169172168,145,13920,2082.6609416936813
26,0.03492450626759694,6.731707658618689,145,13920,2067.825982041578
27,0.036321859023180504,6.794392473064363,145,13920,2048.748295772483
28,0.03387011489991484,6.7619545962661505,145,13920,2058.576377854772
29,0.03170034415249167,6.811668780632317,145,13920,2043.552093956604
30,0.032179682220107524,6.695817959494889,145,13920,2078.9095647770687
31,0.03517730510954199,6.669640284962952,145,13920,2087.069077980616
32,0.030609074267077034,6.616998325102031,145,13920,2103.672891557723
33,0.026488927989427386,6.721692714840174,145,13920,2070.906926356122
34,0.028914927498533808,6.876111357472837,145,13920,2024.400024422523
35,0.026070171748769695,6.7068439302966,145,13920,2075.491862442132
36,0.030334922864005482,6.798384635709226,145,13920,2047.545225211846
37,0.02718317057166634,6.577897102572024,145,13920,2116.177827494009
38,0.028341846778218088,6.814192165620625,145,13920,2042.795339736679
39,0.027443609733519884,6.20541528519243,145,13920,2243.2020034527536
40,0.026535434584165442,6.119264439679682,145,13920,2274.783209193792
41,0.02454421285796782,6.6678365133702755,145,13920,2087.63366829522
42,0.024992051039790283,6.85197498369962,145,13920,2031.5310597476973
43,0.024211220436825834,6.768007828854024,145,13920,2056.735209533138
44,0.024435130872860037,6.87360630184412,145,13920,2025.1378081205207
45,0.025473215199750047,6.9285018695518374,145,13920,2009.0923351227154
46,0.023789438329123218,6.8805813724175096,145,13920,2023.0848596314431
47,0.024245000611348398,6.865663175471127,145,13920,2027.4807610329353
48,0.02248591953117786,6.888638712465763,145,13920,2020.7185455684012
49,0.01982303079988422,6.928576638922095,145,13920,2009.0706541084876
50,0.023786671960662153,6.871109145693481,145,13920,2025.87380069846
