detector,data_mode,family,variant,method,features,val_auc_sampled,val_r@10,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,mrr,sky_sigma_rad,sky_val_mean_angular_error_rad,sky_val_median_angular_error_rad,train_s,mean_epoch_s,total_s_so_far,train_examples,train_positive,valid
ET,pure,SIS,waveform_only,ep50_inceptiontime_bandpass_direct_retrieval,waveform_embedding_cosine_similarity,,0.985,0.9583333333333334,0.9786666666666667,0.983,0.9936666666666667,0.9963333333333333,0.998,1.0,0.9678197956158325,1.5841219425201416,1.591567039489746,1.5841219425201416,308.3740986296907,6.167159044891596,344.5670611457899,,,
ET,pure,SIS,delta_time_only,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.9999240195555555,,0.8483333333333334,0.9856666666666667,0.9936666666666667,0.9953333333333333,0.9963333333333333,0.9996666666666667,1.0,,1.5841219425201416,1.591567039489746,1.5841219425201416,308.3740986296907,6.167159044891596,422.2138691600412,1503000.0,3000.0,3000.0
ET,pure,SIS,delta_time_plus_true_sky_sep,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,oracle_sky_sep_from_ra_dec,waveform_score,waveform_reciprocal_rank",0.9999991996666667,,0.9983333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,1.0,,1.5841219425201416,1.591567039489746,1.5841219425201416,308.3740986296907,6.167159044891596,455.90921190660447,1503000.0,3000.0,3000.0
ET,pure,SIS,delta_time_plus_true_sky_overlap,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,oracle_log_sky_overlap_from_ra_dec,waveform_score,waveform_reciprocal_rank",0.9999996153333334,,0.9986666666666667,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,1.0,,1.5841219425201416,1.591567039489746,1.5841219425201416,308.3740986296907,6.167159044891596,500.72653777711093,1503000.0,3000.0,3000.0
ET,pure,SIS,delta_time_plus_predicted_sky_overlap,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,predicted_log_sky_overlap_from_waveform_sky_model,waveform_score,waveform_reciprocal_rank",0.999936237888889,,0.908,0.9843333333333333,0.9936666666666667,0.9956666666666667,0.9973333333333333,0.9996666666666667,1.0,,1.5841219425201416,1.591567039489746,1.5841219425201416,308.3740986296907,6.167159044891596,552.7445766581222,1503000.0,3000.0,3000.0
ET,noisy,SIS,waveform_only,ep50_inceptiontime_bandpass_direct_retrieval,waveform_embedding_cosine_similarity,,0.682,0.4053333333333333,0.579,0.6533333333333333,0.7896666666666666,0.8353333333333334,0.9146666666666666,3.0,0.48707950870900696,1.5581082105636597,1.5515538454055786,1.5581082105636597,305.71369214355946,6.113963096179068,344.58262710180134,,,
ET,noisy,SIS,delta_time_only,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",0.9978810685555556,,0.5266666666666666,0.7253333333333334,0.7883333333333333,0.8723333333333333,0.9066666666666666,0.9726666666666667,1.0,,1.5581082105636597,1.5515538454055786,1.5581082105636597,305.71369214355946,6.113963096179068,484.7924294769764,1503000.0,3000.0,3000.0
ET,noisy,SIS,delta_time_plus_true_sky_sep,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,oracle_sky_sep_from_ra_dec,waveform_score,waveform_reciprocal_rank",0.99998699,,0.9563333333333334,0.9953333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,1.0,,1.5581082105636597,1.5515538454055786,1.5581082105636597,305.71369214355946,6.113963096179068,531.0382976252586,1503000.0,3000.0,3000.0
ET,noisy,SIS,delta_time_plus_true_sky_overlap,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,oracle_log_sky_overlap_from_ra_dec,waveform_score,waveform_reciprocal_rank",0.9999929306666668,,0.9553333333333334,0.9976666666666667,1.0,1.0,1.0,1.0,1.0,,1.5581082105636597,1.5515538454055786,1.5581082105636597,305.71369214355946,6.113963096179068,592.8047204203904,1503000.0,3000.0,3000.0
ET,noisy,SIS,delta_time_plus_predicted_sky_overlap,ep50_inceptiontime_bandpass_catalog_hgb_rerank,"log1p_delta_time_obs,predicted_log_sky_overlap_from_waveform_sky_model,waveform_score,waveform_reciprocal_rank",0.9980053572222222,,0.5193333333333333,0.7153333333333334,0.7733333333333333,0.8736666666666667,0.9073333333333333,0.9723333333333334,1.0,,1.5581082105636597,1.5515538454055786,1.5581082105636597,305.71369214355946,6.113963096179068,725.6470526475459,1503000.0,3000.0,3000.0
