detector,data_mode,family,predictor,sky_sigma_rad,sky_val_mean_error_rad,sky_val_median_error_rad,sky_val_frac_err_lt_0p5,sky_val_frac_err_lt_1p0,val_auc_sampled,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,rerank_r@1,rerank_r@5,rerank_r@10,rerank_r@50,rerank_r@100,rerank_r@500,rerank_median_true_rank,valid
ET,noisy,SIS,ridge,1.5387144088745117,1.5505987405776978,1.5387144088745117,0.06955555555555555,0.2437777777777778,0.9980265105555556,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5106666666666667,0.7156666666666667,0.7703333333333333,0.8733333333333333,0.9093333333333333,0.9773333333333334,1.0,3000
ET,noisy,SIS,knn32,1.5651923418045044,1.5707660913467407,1.5651923418045044,0.058888888888888886,0.2288888888888889,0.9977929101111112,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5026666666666667,0.722,0.776,0.8713333333333333,0.9113333333333333,0.9716666666666667,1.0,3000
ET,noisy,SIS,extratrees,1.5587899684906006,1.563525915145874,1.5587899684906006,0.059333333333333335,0.23555555555555555,0.9982265379999999,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5083333333333333,0.7166666666666667,0.771,0.871,0.908,0.9756666666666667,1.0,3000
ET,noisy,SIS,randomforest,1.5708255767822266,1.5634108781814575,1.5708255767822266,0.05977777777777778,0.23444444444444446,0.998368318,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5006666666666667,0.714,0.77,0.8736666666666667,0.91,0.9743333333333334,1.0,3000
ET,noisy,SIS,mlp,1.5783249139785767,1.5777469873428345,1.5783249139785767,0.058222222222222224,0.2248888888888889,0.9982627215555555,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5096666666666667,0.7193333333333334,0.7723333333333333,0.8663333333333333,0.903,0.9723333333333334,1.0,3000
ET,noisy,PM,ridge,1.5686769485473633,1.57159423828125,1.5686769485473633,0.058444444444444445,0.24,0.9999396533333332,0.304,0.463,0.5406666666666666,7.0,0.8606666666666667,0.9653333333333334,0.9956666666666667,1.0,1.0,1.0,1.0,3000
ET,noisy,PM,knn32,1.5989902019500732,1.5923547744750977,1.5989902019500732,0.060222222222222226,0.22,0.9999417844444444,0.304,0.463,0.5406666666666666,7.0,0.8546666666666667,0.9606666666666667,0.993,0.9993333333333333,0.9993333333333333,0.9993333333333333,1.0,3000
ET,noisy,PM,extratrees,1.5779949426651,1.5815616846084595,1.5779949426651,0.058444444444444445,0.22355555555555556,0.9999280570000001,0.304,0.463,0.5406666666666666,7.0,0.8633333333333333,0.9616666666666667,0.993,1.0,1.0,1.0,1.0,3000
ET,noisy,PM,randomforest,1.5863476991653442,1.5809231996536255,1.5863476991653442,0.06266666666666666,0.22311111111111112,0.9999413351111112,0.304,0.463,0.5406666666666666,7.0,0.865,0.9606666666666667,0.9923333333333333,1.0,1.0,1.0,1.0,3000
ET,noisy,PM,mlp,1.5496524572372437,1.5540542602539062,1.5496524572372437,0.06911111111111111,0.2437777777777778,0.9999386116666666,0.304,0.463,0.5406666666666666,7.0,0.8603333333333333,0.9566666666666667,0.9923333333333333,1.0,1.0,1.0,1.0,3000
LIGO,noisy,SIS,ridge,1.5356411933898926,1.5497928857803345,1.5356411933898926,0.06177777777777778,0.24222222222222223,0.9730910268888888,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.08066666666666666,0.15833333333333333,0.20833333333333334,0.3923333333333333,0.508,0.833,94.0,3000
LIGO,noisy,SIS,knn32,1.5619869232177734,1.557435154914856,1.5619869232177734,0.06777777777777778,0.2331111111111111,0.9727934725555556,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.06866666666666667,0.159,0.21166666666666667,0.4116666666666667,0.521,0.8266666666666667,87.0,3000
LIGO,noisy,SIS,extratrees,1.559542179107666,1.5590636730194092,1.559542179107666,0.06488888888888888,0.24466666666666667,0.9730790562222222,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.079,0.168,0.21466666666666667,0.41,0.5153333333333333,0.8336666666666667,91.0,3000
LIGO,noisy,SIS,randomforest,1.5695507526397705,1.5642664432525635,1.5695507526397705,0.06733333333333333,0.23844444444444443,0.9724519233333333,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.08033333333333334,0.168,0.216,0.4033333333333333,0.523,0.8146666666666667,88.0,3000
LIGO,noisy,SIS,mlp,1.549527883529663,1.5576854944229126,1.549527883529663,0.06155555555555556,0.23777777777777778,0.9686182727777778,0.010333333333333333,0.024333333333333332,0.04,1180.0,0.08,0.17,0.22033333333333333,0.39966666666666667,0.5236666666666666,0.8366666666666667,88.0,3000
LIGO,noisy,PM,ridge,1.522367238998413,1.5335662364959717,1.522367238998413,0.06488888888888888,0.24133333333333334,0.9995288778888889,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.247,0.6693333333333333,0.9226666666666666,1.0,1.0,1.0,4.0,3000
LIGO,noisy,PM,knn32,1.570683240890503,1.5655101537704468,1.570683240890503,0.05466666666666667,0.22066666666666668,0.9994953152222222,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.25433333333333336,0.6656666666666666,0.9263333333333333,0.9996666666666667,0.9996666666666667,0.9996666666666667,4.0,3000
LIGO,noisy,PM,extratrees,1.5529624223709106,1.5603563785552979,1.5529624223709106,0.06177777777777778,0.23066666666666666,0.9994959396666667,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.246,0.6416666666666667,0.913,1.0,1.0,1.0,4.0,3000
LIGO,noisy,PM,randomforest,1.5588939189910889,1.565185308456421,1.5588939189910889,0.058666666666666666,0.22533333333333333,0.9995180727777777,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.266,0.6986666666666667,0.9426666666666667,1.0,1.0,1.0,3.0,3000
LIGO,noisy,PM,mlp,1.531353235244751,1.5443075895309448,1.531353235244751,0.059111111111111114,0.23222222222222222,0.999454647,0.006666666666666667,0.017,0.028333333333333332,1445.0,0.258,0.674,0.933,1.0,1.0,1.0,3.0,3000
