detector,data_mode,family,variant,method,features,oracle_feature,sky_sigma_rad,sky_val_mean_angular_error_rad,train_examples,train_positive,val_auc_sampled,waveform_r@1,waveform_r@5,waveform_r@10,waveform_median_true_rank,r@1,r@5,r@10,r@50,r@100,r@500,median_rank,valid
ET,pure,SIS,waveform_only,unified_catalog_rerank_hgb,"waveform_score,waveform_reciprocal_rank",False,,,1503000,3000,0.9995016054444444,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.976,0.9843333333333333,0.9893333333333333,0.9936666666666667,0.995,0.9986666666666667,1.0,3000
ET,pure,SIS,trigger_time_only,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",False,,,1503000,3000,0.9999277236666666,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.874,0.9833333333333333,0.9923333333333333,0.997,0.9973333333333333,0.9993333333333333,1.0,3000
ET,pure,SIS,trigger_time_plus_real_sky_sep,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank,oracle_sky_sep_from_ra_dec",True,,,1503000,3000,0.9999999986666666,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.9976666666666667,1.0,1.0,1.0,1.0,1.0,1.0,3000
ET,pure,SIS,trigger_time_plus_real_sky_overlap,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank,oracle_log_sky_map_overlap_from_true_ra_dec",True,0.08,,1503000,3000,0.9999985912222222,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.9983333333333333,0.999,0.999,0.999,0.999,0.999,1.0,3000
ET,pure,SIS,trigger_time_plus_predicted_sky_overlap,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank,predicted_log_sky_map_overlap",False,1.5625288486480713,1.5711166858673096,1503000,3000,0.9999629931111111,0.9416666666666667,0.9806666666666667,0.9873333333333333,1.0,0.9166666666666666,0.985,0.9896666666666667,0.9963333333333333,0.9976666666666667,0.9993333333333333,1.0,3000
ET,pure,PM,waveform_only,unified_catalog_rerank_hgb,"waveform_score,waveform_reciprocal_rank",False,,,1503000,3000,0.9993030737777779,0.9356666666666666,0.974,0.98,1.0,0.973,0.9776666666666667,0.981,0.9926666666666667,0.9946666666666667,0.998,1.0,3000
ET,pure,PM,trigger_time_only,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",False,,,1503000,3000,0.9999980491111111,0.9356666666666666,0.974,0.98,1.0,0.9953333333333333,0.9976666666666667,0.9976666666666667,0.9976666666666667,0.9976666666666667,0.9976666666666667,1.0,3000
ET,pure,PM,trigger_time_plus_real_sky_sep,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank,oracle_sky_sep_from_ra_dec",True,,,1503000,3000,1.0,0.9356666666666666,0.974,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3000
ET,pure,PM,trigger_time_plus_real_sky_overlap,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank,oracle_log_sky_map_overlap_from_true_ra_dec",True,0.08,,1503000,3000,0.9999999999999999,0.9356666666666666,0.974,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3000
ET,pure,PM,trigger_time_plus_predicted_sky_overlap,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank,predicted_log_sky_map_overlap",False,1.5592169761657715,1.570056438446045,1503000,3000,0.9999974867777778,0.9356666666666666,0.974,0.98,1.0,0.9943333333333333,0.998,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,1.0,3000
ET,noisy,SIS,waveform_only,unified_catalog_rerank_hgb,"waveform_score,waveform_reciprocal_rank",False,,,1503000,3000,0.9778985635555557,0.407,0.5913333333333334,0.6576666666666666,3.0,0.6396666666666667,0.654,0.6666666666666666,0.8016666666666666,0.844,0.91,1.0,3000
ET,noisy,SIS,trigger_time_only,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank",False,,,1503000,3000,0.9961439212222224,0.407,0.5913333333333334,0.6576666666666666,3.0,0.5683333333333334,0.7206666666666667,0.7796666666666666,0.8746666666666667,0.9143333333333333,0.9743333333333334,1.0,3000
ET,noisy,SIS,trigger_time_plus_real_sky_sep,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank,oracle_sky_sep_from_ra_dec",True,,,1503000,3000,0.999987432,0.407,0.5913333333333334,0.6576666666666666,3.0,0.965,0.998,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,1.0,3000
ET,noisy,SIS,trigger_time_plus_real_sky_overlap,unified_catalog_rerank_hgb,"log1p_delta_time_obs,waveform_score,waveform_reciprocal_rank,oracle_log_sky_map_overlap_from_true_ra_dec",True,0.08,,1503000,3000,0.9999904471111112,0.407,0.5913333333333334,0.6576666666666666,3.0,0.963,0.998,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,1.0,3000
